ano censo,nome do municipio,nome da escola,dependência administrativa,categoria escola privada,localização,situação de funcionamento,internet,internet para alunos,computador,qt computador,computador portatil,qt computador portatil,tablet,qt tablet,contrato de prestação de serviço,termo de cooperação técnica e financeira,tipo de atendimento escolarização,Atendimento Educacional Especializado (AEE),Mediação Presencial,Mediação Semipresencial,Mediação EAD,Turno Diurno,Turno Noturno,Ensino Médio,Educação Profissional,Educação Profissional Técnica,Feminino,Masculino,Raça não Declarada,Branca,Preta,Parda,Amarela,Indígena
2023,Abaré,COLEGIO ESTADUAL SANTO ANTONIO DE ABARE - TEMPO INTEGRAL,estadual,,urbana,ativa,Sim,Sim,Sim,8.0,Sim,32.0,Sim,5.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,260.0,285.0,168.0,5.0,8.0,363.0,0.0,1.0
2023,Abaré,COLEGIO ESTADUAL DO CAMPO JOSEFINA GOMES DE ARAUJO,estadual,,rural,ativa,Sim,Sim,Não,0.0,Sim,2.0,Sim,10.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,133.0,134.0,8.0,7.0,4.0,244.0,0.0,4.0
2023,Chorrochó,COLEGIO ESTADUAL MARIA DE LOURDES LIMA PEREIRA,estadual,,rural,ativa,Sim,Sim,Não,0.0,Sim,25.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,63.0,81.0,3.0,1.0,33.0,106.0,0.0,1.0
2023,Glória,COLEGIO ESTADUAL REIS MAGALHAES TEMPO INTEGRAL,estadual,,urbana,ativa,Sim,Não,Sim,8.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,243.0,314.0,4.0,106.0,14.0,379.0,4.0,50.0
2023,Macururé,COLEGIO ESTADUAL DE MACURURE - TEMPO INTEGRAL,estadual,,urbana,ativa,Sim,Não,Não,0.0,Sim,36.0,Sim,15.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,140.0,238.0,19.0,26.0,17.0,313.0,2.0,1.0
2023,Paulo Afonso,CENTRO TERRITORIAL DE EDUCACAO PROFISSIONAL DE ITAPARICA,estadual,,urbana,ativa,Sim,Sim,Sim,21.0,Não,0.0,Sim,54.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,161.0,521.0,11.0,103.0,26.0,535.0,2.0,5.0
2023,Paulo Afonso,COLEGIO ESTADUAL CARLINA BARBOSA DE DEUS,estadual,,urbana,ativa,Sim,Não,Sim,10.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,616.0,527.0,117.0,199.0,58.0,755.0,4.0,10.0
2023,Paulo Afonso,COLEGIO SETE DE SETEMBRO,privada,filantropica,urbana,ativa,Sim,Sim,Sim,91.0,Sim,30.0,Sim,40.0,,,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,548.0,505.0,215.0,384.0,11.0,438.0,2.0,3.0
2023,Paulo Afonso,COLEGIO ESTADUAL DEMOCRATICO QUITERIA MARIA DE JESUS,estadual,,urbana,ativa,Sim,Sim,Sim,22.0,Sim,6.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,224.0,251.0,3.0,18.0,4.0,422.0,24.0,4.0
2023,Paulo Afonso,COLEGIO ESTADUAL POLIVALENTE DE PAULO AFONSO,estadual,,urbana,ativa,Sim,Sim,Não,0.0,Sim,19.0,Não,0.0,,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,220.0,176.0,44.0,42.0,12.0,289.0,2.0,7.0
2023,Rodelas,COLEGIO ESTADUAL DULCINA CRUZ LIMA,estadual,,urbana,ativa,Sim,Não,Não,0.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,194.0,176.0,66.0,50.0,17.0,190.0,3.0,44.0
2023,Barra,COLEGIO ESTADUAL DOUTOR LUIZ ROGERIO DE SOUZA,estadual,,urbana,ativa,Sim,Sim,Sim,5.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,274.0,368.0,131.0,6.0,6.0,497.0,1.0,1.0
2023,Barra,COLEGIO SANTA EUFRASIA,privada,filantropica,urbana,ativa,Sim,Não,Sim,9.0,Sim,1.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,267.0,239.0,356.0,21.0,5.0,124.0,0.0,0.0
2023,Barra,COLEGIO ESTADUAL LUIZ VIANA FILHO - TEMPO INTEGRAL,estadual,,urbana,ativa,Sim,Não,Sim,8.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,219.0,429.0,161.0,9.0,36.0,436.0,5.0,1.0
2023,Ibotirama,COLEGIO ESTADUAL PROFESSORA ODONTINA LARANJEIRA DE SOUZA - EM TEMPO INTEGRAL,estadual,,urbana,ativa,Sim,Sim,Sim,6.0,Sim,4.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,429.0,450.0,185.0,63.0,34.0,580.0,5.0,12.0
2023,Xique-Xique,COLEGIO MUNICIPAL SENHOR DO BONFIM,municipal,,urbana,ativa,Sim,Não,Sim,2.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,819.0,700.0,784.0,73.0,42.0,616.0,2.0,2.0
2023,Xique-Xique,CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM RECURSOS NATURAIS DO CENTRO BAIANO,estadual,,urbana,ativa,Sim,Não,Sim,10.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,453.0,392.0,68.0,41.0,68.0,667.0,1.0,0.0
