,Bairro ou grupo de bairros,Índice de Desenvolvimento Humano Municipal (IDH)_1991,Região,Índice de Desenvolvimento Humano Municipal (IDH)_2000
74,Curicica,0.768,Zona Oeste,0.828
75,Tomás Coelho,0.767,Zona Norte,0.802
76,Inhaúma,0.764,Zona Norte,0.81
77,Turiaçu,0.764,Zona Norte,0.812
78,Rocha Miranda,0.764,Zona Norte,0.815
79,Tauá,0.763,Ilha do Governador,0.817
80,Guadalupe,0.763,Zona Norte,0.81
81,Benfica,0.761,Zona Norte,0.825
82,Cavalcanti. Engenheiro Leal. Vaz Lobo,0.759,Zona Norte,0.807
83,Penha,0.758,Zona Norte,0.804
84,Pavuna,0.753,Zona Norte,0.79
85,Campo Grande,0.752,Zona Oeste,0.81
86,Marechal Hermes,0.752,Zona Norte,0.814
87,Saúde. Gamboa. Santo Cristo,0.752,Zona Portuária,0.792
88,Ricardo de Albuquerque,0.75,Zona Norte,0.807
89,Realengo,0.749,Zona Oeste,0.803
90,Magalhães Bastos,0.746,Zona Oeste,0.802
91,Galeão. Cidade Universitária,0.745,Ilha do Governador,0.778
92,Catumbi,0.745,Centro,0.802
93,Padre Miguel,0.743,Zona Oeste,0.804
94,Senador Vasconcelos,0.742,Zona Oeste,0.802
95,Bangu,0.739,Zona Oeste,0.794
96,Vista Alegre. Irajá,0.737,Zona Norte,0.798
97,Mangueira. São Francisco Xavier,0.735,Zona Norte,0.8
98,Honório Gurgel,0.734,Zona Norte,0.804
99,Cordovil,0.733,Zona Norte,0.791
100,Vicente de Carvalho,0.732,Zona Norte,0.773
101,Anchieta,0.727,Zona Norte,0.788
102,Jacarepaguá,0.725,Zona Oeste,0.769
103,Santíssimo,0.723,Zona Oeste,0.78
104,Senador Camará,0.71,Zona Oeste,0.768
105,Colégio,0.709,Zona Norte,0.762
106,Camorim. Vargem Pequena. Vargem Grande,0.709,Zona Oeste,0.746
107,Sepetiba,0.706,Zona Oeste,0.761
108,Parada de Lucas,0.705,Zona Norte,0.745
109,Cosmos,0.701,Zona Oeste,0.759
110,Gardênia Azul,0.701,Zona Oeste,0.768
111,Vigário Geral,0.699,Zona Norte,0.763
112,Paciência,0.696,Zona Oeste,0.751
113,Inhoaíba,0.695,Zona Oeste,0.747
114,Cidade de Deus,0.693,Zona Oeste,0.751
115,Santa Cruz,0.692,Zona Oeste,0.742
116,Caju,0.692,Zona Portuária,0.753
117,Costa Barros,0.69,Zona Norte,0.713
118,Barros Filho,0.689,Zona Norte,0.75
119,Guaratiba. Barra de Guaratiba. Pedra de Guaratiba,0.683,Zona Oeste,0.744
120,Jacarezinho,0.678,Zona Norte,0.731
121,Rocinha,0.675,Zona Sul,0.732
122,Manguinhos,0.674,Zona Norte,0.726
123,Maré,0.667,Zona Norte,0.722
124,Complexo do Alemão,0.657,Zona Norte,0.711
125,Acari. Parque Colúmbia,0.657,Zona Norte,0.72
