Ordem segundo o IDH;Bairro ou grupo de bairros;Esperança de vida ao nascer (em anos);Taxa de alfabetização de adultos (%);Taxa bruta de frequência escolar (%);Renda per capita (em R$ de 2000);Índice de Longevidade (IDH-L);Índice de Educação (IDH-E);Índice de Renda (IDH-R);Índice de Desenvolvimento Humano Municipal (IDH)
90;Realengo;65,79;94,19;76,39;237,95;0,68;0,883;0,686;0,749
91;Magalhães Bastos;66,13;93,91;74,11;229,96;0,685;0,873;0,681;0,746
92;Galeão, Cidade Universitária;64,61;92,87;76,24;260,33;0,66;0,873;0,701;0,745
93;Catumbi;64,93;92,58;76,94;250,59;0,666;0,874;0,695;0,745
94;Padre Miguel;67,3;93,28;70,79;212,23;0,705;0,858;0,667;0,743
95;Senador Vasconcelos;66,62;91,88;74,82;215,53;0,694;0,862;0,67;0,742
96;Bangu;65,64;93,01;74,43;217,91;0,677;0,868;0,672;0,739
97;Vista Alegre, Irajá;57,04;96,73;83,62;353,93;0,534;0,924;0,752;0,737
98;Mangueira, São Francisco Xavier;64,46;89,52;71,36;276,58;0,658;0,835;0,711;0,735
99;Honório Gurgel;64,69;94,03;70,92;225,3;0,662;0,863;0,677;0,734
100;Cordovil;64,46;93,49;73,64;218,69;0,658;0,869;0,672;0,733
101;Vicente de Carvalho;64,46;91,53;72,74;238,81;0,658;0,853;0,687;0,732
102;Anchieta;65,45;93,24;71,04;189,64;0,674;0,858;0,648;0,727
103;Jacarepaguá;64,92;86,09;66,03;282,48;0,665;0,794;0,715;0,725
104;Santíssimo;64,93;91,78;74,26;184,52;0,666;0,859;0,644;0,723
105;Senador Camará;64,32;90,31;67,96;188,38;0,655;0,829;0,647;0,71
106;Colégio;62,87;90,57;66,15;219,45;0,631;0,824;0,673;0,709
107;Camorim, Vargem Pequena, Vargem Grande;62,37;84,04;61,33;327,36;0,623;0,765;0,739;0,709
108;Sepetiba;63,67;90,67;65,54;193,12;0,645;0,823;0,651;0,706
109;Parada de Lucas;62,93;89,6;67,65;204,22;0,632;0,823;0,661;0,705
110;Cosmos;64,5;91,04;64,74;162,91;0,658;0,823;0,623;0,701
111;Gardênia Azul;63,19;86,26;71,13;196,17;0,637;0,812;0,654;0,701
112;Vigário Geral;62,51;92,28;66;176,96;0,625;0,835;0,637;0,699
113;Paciência;62,84;91,77;69,18;156,33;0,631;0,842;0,616;0,696
114;Inhoaíba;62,37;90,35;67,6;175,98;0,623;0,828;0,636;0,695
115;Cidade de Deus;62,51;90,34;65,16;174,08;0,625;0,819;0,634;0,693
116;Santa Cruz;62,49;90,26;66,16;170,16;0,625;0,822;0,63;0,692
117;Caju;64,93;82,73;64,06;187,79;0,666;0,765;0,647;0,692
118;Costa Barros;61,76;90,02;64,77;182,72;0,613;0,816;0,642;0,69
119;Barros Filho;64,03;87,27;64,94;157,4;0,65;0,798;0,617;0,689
120;Guaratiba, Barra de Guaratiba, Pedra de Guaratiba;62,37;87,55;64,59;168,54;0,623;0,799;0,629;0,683
121;Jacarezinho;62,32;86,87;64,61;157,13;0,622;0,794;0,617;0,678
122;Rocinha;65,15;81,49;54,47;170,57;0,669;0,725;0,631;0,675
123;Manguinhos;62,32;85,92;62,98;157,26;0,622;0,783;0,617;0,674
124;Maré;62,71;83,31;60,57;156,26;0,628;0,757;0,616;0,667
125;Complexo do Alemão;62,36;83,6;56,52;144,01;0,623;0,746;0,602;0,657
126;Acari, Parque Colúmbia;60,29;86,21;60,57;147,17;0,588;0,777;0,606;0,657
