,Ordem segundo o IDH,Bairro ou grupo de bairros,Esperança de vida ao nascer (em anos),Taxa de alfabetização de adultos (%),Taxa bruta de frequência escolar (%),Renda per capita (em R$ de 2000),Índice de Longevidade (IDH-L),Índice de Educação (IDH-E),Índice de Renda (IDH-R),Índice de Desenvolvimento Humano Municipal (IDH),Ano,Região
149,24,Campinho. Vila Valqueire,77.47,97.86,96.69,684.94,0.875,0.975,0.863,0.904,2000,Zona Norte
150,25,Moneró. Portuguesa,76.43,97.21,100.52,730.4,0.857,0.981,0.873,0.904,2000,Ilha do Governador
151,26,Catete,74.99,96.65,100.4,822.22,0.833,0.978,0.893,0.901,2000,Zona Sul
152,27,Vila Isabel,73.46,97.16,100.89,931.25,0.808,0.981,0.914,0.901,2000,Zona Norte
153,28,Cachambi,75.7,98.14,102.23,709.05,0.845,0.988,0.868,0.9,2000,Zona Norte
154,29,Pechincha,75.67,97.72,97.92,751.28,0.844,0.978,0.878,0.9,2000,Zona Oeste
155,30,Freguesia (Jacarepaguá),75.07,97.46,98.82,766.82,0.834,0.979,0.882,0.898,2000,Zona Oeste
156,31,Recreio dos Bandeirantes. Grumari,72.55,95.03,91.75,1166.18,0.793,0.939,0.952,0.894,2000,Zona Oeste
157,32,Centro,76.12,97.58,99.24,633.36,0.852,0.981,0.85,0.894,2000,Centro
158,33,Higienópolis,74.06,97.46,100.28,614.41,0.818,0.983,0.845,0.882,2000,Zona Norte
159,34,Santa Teresa. Cosme Velho,74.06,96.14,92.6,701.19,0.818,0.95,0.867,0.878,2000,Zona Sul
160,35,Água Santa. Encantado,76.21,97.48,95.65,496.66,0.853,0.969,0.809,0.877,2000,Zona Norte
161,36,Taquara,76.21,96.53,92.28,544.29,0.853,0.951,0.824,0.876,2000,Zona Oeste
162,37,Vila Cosmos,77.2,97.58,89.46,498.82,0.87,0.949,0.81,0.876,2000,Zona Norte
163,38,Vidigal. São Conrado,71.12,94.76,82.0,1131.47,0.769,0.905,0.946,0.873,2000,Zona Sul
164,39,Cidade Nova. Praça da Bandeira,72.05,96.29,96.84,640.31,0.784,0.965,0.851,0.867,2000,Zona Norte
165,40,Bonsucesso,74.7,95.72,86.94,552.99,0.828,0.928,0.827,0.861,2000,Zona Norte
166,41,Cocotá. Bancários,74.06,96.48,91.67,518.28,0.818,0.949,0.816,0.861,2000,Ilha do Governador
167,42,Maria da Graça. Del Castilho,72.66,98.35,95.47,505.4,0.794,0.974,0.812,0.86,2000,Zona Norte
168,43,Ribeira. Cacuia,72.85,96.48,95.37,527.2,0.797,0.961,0.819,0.859,2000,Ilha do Governador
169,44,Lins de Vasconcelos,72.73,95.54,92.3,583.35,0.795,0.945,0.836,0.859,2000,Zona Norte
170,45,Engenho Novo,72.37,96.29,93.33,573.33,0.789,0.953,0.833,0.858,2000,Zona Norte
171,46,Zumbi. Pitangueiras. Praia da Bandeira,73.53,96.9,91.34,517.83,0.809,0.95,0.816,0.858,2000,Ilha do Governador
172,47,Ramos,73.94,97.13,88.7,508.76,0.816,0.943,0.813,0.857,2000,Zona Norte
173,48,Engenho de Dentro,72.66,96.67,92.77,536.54,0.794,0.954,0.822,0.857,2000,Zona Norte
174,49,Abolição,73.28,97.07,95.69,467.23,0.805,0.966,0.799,0.857,2000,Zona Norte
175,50,Deodoro. Vila Militar. Campo dos Afonsos. Jardim Sulacap,73.59,97.75,93.26,462.13,0.81,0.963,0.797,0.856,2000,Zona Oeste
176,51,Oswaldo Cruz,73.59,97.75,94.12,441.34,0.81,0.965,0.789,0.855,2000,Zona Norte
177,52,Olaria,73.87,96.93,90.95,460.31,0.814,0.949,0.796,0.853,2000,Zona Norte
178,53,Bento Ribeiro,75.05,97.95,88.15,399.85,0.834,0.947,0.773,0.851,2000,Zona Norte
179,54,Piedade,72.66,97.08,95.51,447.64,0.794,0.966,0.792,0.85,2000,Zona Norte
180,55,Quintino Bocaiúva,73.91,96.8,91.97,424.67,0.815,0.952,0.783,0.85,2000,Zona Norte
181,56,Rio Comprido,70.28,97.0,92.6,590.26,0.755,0.955,0.838,0.849,2000,Zona Norte
182,57,Praça Seca,71.7,96.18,91.79,498.32,0.778,0.947,0.81,0.845,2000,Zona Norte
183,58,Jardim América,72.66,97.03,87.72,426.12,0.794,0.939,0.783,0.839,2000,Zona Norte
184,59,Jacaré. Rocha. Sampaio,70.64,95.9,90.65,513.62,0.761,0.941,0.815,0.839,2000,Zona Norte
185,60,Freguesia,70.28,95.23,89.35,557.35,0.755,0.933,0.828,0.839,2000,Zona Oeste
186,61,Jardim Carioca,72.66,95.97,86.23,436.33,0.794,0.927,0.787,0.836,2000,Ilha do Governador
187,62,Engenho da Rainha,73.36,96.93,89.2,362.62,0.806,0.944,0.757,0.835,2000,Zona Norte
188,63,Brás de Pina,72.66,96.45,88.41,397.15,0.794,0.938,0.772,0.835,2000,Zona Norte
189,64,São Cristóvão. Vasco da Gama,72.27,95.44,89.08,412.39,0.788,0.933,0.778,0.833,2000,Zona Norte
190,65,Cascadura,72.15,95.97,86.35,428.76,0.786,0.928,0.785,0.833,2000,Zona Norte
191,66,Parque Anchieta,73.71,96.31,87.17,355.31,0.812,0.933,0.753,0.833,2000,Zona Norte
192,67,Madureira,70.97,96.81,90.42,419.81,0.766,0.947,0.781,0.831,2000,Zona Norte
193,68,Pilares,72.55,96.79,86.05,389.81,0.793,0.932,0.769,0.831,2000,Zona Norte
