Estados;Ano;Floresta;Formação Florestal não Natural ;Agropecuária;Área sem Vegetação;Água e Ambientes Marinhos;Não Observado;Área Total do Território
Amazonas;2006;147112433,7;2674786,234;1286832,186;59919,89946;4703846,103;149,2755709;155837967,4
Amazonas;2007;147070568,7;2530771,016;1315736,997;60248,42404;4860490,394;151,8757365;155837967,4
Amazonas;2008;147065589,5;2517698,47;1324160,431;61369,31174;4868996,589;153,1300839;155837967,4
Amazonas;2009;146989146,8;2464467,289;1378022,007;62015,22776;4944173,667;142,4893104;155837967,4
Amazonas;2010;146932524,9;2703344,713;1450000,316;62593,45245;4689331,46;172,6128905;155837967,4
Amazonas;2011;146925574,2;2606538,2;1471372,562;63159,78014;4771175,462;147,2207229;155837967,4
Amazonas;2012;146907614,5;2539547,141;1459164,599;63839,46515;4867638,774;162,9710586;155837967,4
Amazonas;2013;146886953,2;2565846,923;1491779,263;64449,43229;4828775,041;163,5853725;155837967,4
Amazonas;2014;146810723;2600406,466;1549654,929;65270,76158;4811743,65;168,5936132;155837967,4
Amazonas;2015;146685935,5;2668079,321;1660453,249;66063,96507;4757269,793;165,6449848;155837967,4
Amazonas;2016;146508326,1;2939622,407;1826041,613;66868,24438;4496932,148;176,8972496;155837967,4
Amazonas;2017;146420960,3;2715396,102;1913956,96;67141,82631;4720326,803;185,3999845;155837967,4
Amazonas;2018;146374272,4;2810324,683;1963115,594;67894,74461;4622183,933;176,0845316;155837967,4
Amazonas;2019;146221340,4;2717248,676;2077088,449;68323,12118;4753788,184;178,593146;155837967,4
Amazonas;2020;146059525,9;2840072,907;2228877,474;69244,55574;4640070,576;176,0126081;155837967,4
Amazonas;2021;145728021,8;2723280,951;2489076,394;73873,85045;4823595,458;119,00756;155837967,4
Amazonas;2022;145327379,8;2360656,128;2798978,137;80916,65309;5269944,371;92,39182794;155837967,4
Amazonas;2023;145272359,3;2449775,639;3004431,452;85141,91959;5026161,876;97,30018622;155837967,4
Rondônia;1985;21037661,15;1005085,281;1450120,549;44466,77542;225939,8596;9,410799817;23763283,02
Rondônia;1986;20703775,47;972925,3726;1797238,841;49180,50441;240152,6322;10,19903302;23763283,02
