country;state;municipality;municipality - state;geocode;feature_id;class;class_level_0;class_level_1;class_level_2;class_level_3;class_level_4;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Brasil;Rondônia;Ariquemes;Ariquemes - RO;1100023;2;25;Natural/Antropic;4. Non vegetated area;4.4. Other non Vegetated Areas;4.4. Other non Vegetated Areas;4.4. Other non Vegetated Areas;0;0;0,088096381;1,145252191;0;0,880963049;0,880963049;0;0,616674042;0;0;0;0;0;0,440479163;0,440479163;0,440479163;0,440479163;2,20291897;3,700614478;4,493571289;5,638978058;10,66060839;8,105755316;11,89385325;7,400707825;10,13171146;10,21983767;7,048349133;3,964965814;4,141279755;3,612434521;3,876965033;3,70089295;4,669947101;6,696204285;8,282452954;17,97330711;39,91489908
Brasil;Rondônia;Ariquemes;Ariquemes - RO;1100023;2;29;Natural;2. Non Forest Natural Formation;2.4. Rocky Outcrop;2.4. Rocky Outcrop;2.4. Rocky Outcrop;3002,707894;3004,205453;3005,879038;3000,855774;2994,68658;2993,98178;2993,012509;2992,924286;2993,629004;2992,395124;2992,571691;2993,188021;2993,716563;2996,535534;2995,302181;2994,861744;2995,478523;2998,914524;2999,442501;2999,002468;2997,064614;2997,505017;2997,328851;3000,059776;3001,645265;3000,147571;3000,676417;2999,266576;2995,302765;2992,395667;2995,831398;2996,007941;2995,567721;2993,277359;2987,815759;2987,198747;2984,90825;3004,639532;2938,394642
Brasil;Rondônia;Ariquemes;Ariquemes - RO;1100023;2;30;Antropic;4. Non vegetated area;4.3. Mining;4.3. Mining;4.3. Mining;232,4607231;316,2280667;354,3677797;731,6457743;1256,359796;1601,471394;1657,962246;1736,564661;1881,988047;1876,961144;2002,631653;2070,490023;2091,810772;2197,126782;2091,988637;2331,077252;2304,725833;2378,392721;2388,348072;2463,24764;2588,365195;2663,606953;2687,562709;2791,366406;2887,58595;2915,766729;3033,840356;2991,876385;3083,168023;3107,294275;3166,752917;3192,2744;3257,902308;3341,514953;3453,323109;3509,883541;3700,610921;3802,622675;3807,116974
Brasil;Rondônia;Ariquemes;Ariquemes - RO;1100023;2;31;Antropic;5. Water and Marine Environment;5.2. Aquaculture;5.2. Aquaculture;5.2. Aquaculture;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169,5029978;369,1341345;366,050458
Brasil;Rondônia;Ariquemes;Ariquemes - RO;1100023;2;33;Natural;5. Water and Marine Environment;5.1. River, Lake and Ocean;5.1. River, Lake and Ocean;5.1. River, Lake and Ocean;697,1577028;720,5051957;695,0518945;774,9553907;810,2869655;907,0238052;1018,846355;1103,981986;1257,640404;1482,702293;1439,346778;1664,899502;1824,554806;1865,302501;2094,054666;1631,939487;1728,842156;1704,069571;1829,945296;1783,856582;1776,62411;1825,669056;1934,20895;2024,586193;2011,990941;2176,101345;2157,574224;2375,547913;2346,285877;2603,892664;4451,778152;5503,609813;5798,306115;6026,993825;6210,463715;6201,114785;5974,304363;6181,637094;6709,266963
Brasil;Rondônia;Ariquemes;Ariquemes - RO;1100023;2;39;Antropic;3. Farming;3.2. Agriculture;3.2.1. Temporary Crop;3.2.1.1. Soybean;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,291111523;2,291111523;0;0;0;0;2,202946423;8,811692896;12,68393671;8,189051276;11,80103635;322,7008554;364,4374044;201,9617449;285,3208532;663,0088299;1069,785091;1589,518938;2214,792705;3466,002885;4873,03494;6413,498869;6470,12015;6669,334661
Brasil;Rondônia;Ariquemes;Ariquemes - RO;1100023;2;41;Antropic;3. Farming;3.2. Agriculture;3.2.1. Temporary Crop;3.2.1.5. Other Temporary Crops;0;0;1,497791833;1,497791833;0;0;0;0;0;0;0;0;0;0;0;1,497936853;24,1382452;92,67820134;250,9152118;343,6966536;375,4253331;457,7044009;538,5616416;616,9533465;672,5169205;688,981943;763,1080498;781,4356788;1181,947123;2342,255533;2437,50617;2638,056984;2973,578943;3564,158236;2930,506878;2257,694606;698,8216066;688,5402623;655,9688523
Brasil;Rondônia;Cabixi;Cabixi - RO;1100031;3;3;Natural;1. Forest;1.1. Forest Formation;1.1. Forest Formation;1.1. Forest Formation;93812,26779;91830,084;89567,84727;86221,86871;84254,9274;83630,74471;82338,81073;78543,61656;75802,84296;70481,58208;64527,86956;59038,57715;55878,44515;52922,30658;48071,946;45125,46717;42260,84032;39840,9308;35876,04076;33965,01199;33194,44778;33148,63917;32903,27735;32501,33743;32459,20622;32692,65431;32627,26439;32751,41937;32698,82506;32537,64001;31632,95927;30518,578;30208,09245;29974,50159;29410,21665;28807,81893;28072,99777;27087,54562;25471,09273
Brasil;Rondônia;Cabixi;Cabixi - RO;1100031;3;4;Natural;1. Forest;1.2. Savanna Formation;1.2. Savanna Formation;1.2. Savanna Formation;1389,538704;1385,796592;1371,08949;1364,129467;1352,818351;1350,553994;1344,895362;1335,846118;1327,235123;1374,472349;1443,994295;1449,647671;1441,125562;1433,29114;1397,097833;1325,049936;1291,198948;1263,616253;1277,015765;1263,712154;1251,532215;1338,101272;1394,044651;1448,242847;1455,463204;1475,047181;1450,082261;1410,232298;1412,316238;1522,377449;1526,554583;1494,89586;1405,041006;1394,528748;1438,37509;1471,947672;1447,410802;1263,818341;901,3540812
Brasil;Rondônia;Cabixi;Cabixi - RO;1100031;3;6;Natural;1. Forest;1.4 Floodable Forest;1.4 Floodable Forest;1.4 Floodable Forest;10354,93869;10323,6202;10291,96461;10192,39577;10186,65534;10129,64625;10026,85719;9945,640126;9836,764501;9764,726228;9714,904033;9611,859089;9605,249182;9503,309314;9289,075147;9423,621049;9389,798987;9363,362275;9350,758311;9325,445737;9306,93497;9301,884821;9263,437645;9275,617973;9311,191021;9306,924741;9292,919643;9293,8707;9313,708538;9340,058612;9333,362613;9248,982988;9110,513574;9074,426145;9078,876373;9034,610608;8952,849304;8763,177741;8666,746134
