NOME_SALA;REGISTRO_SALA;CNPJ_SALA;SITUACAO_SALA;DATA_SITUACAO_SALA;DATA_INICIO_FUNCIONAMENTO_SALA;ASSENTOS_SALA;ASSENTOS_CADEIRANTES;ASSENTOS_MOBILIDADE_REDUZIDA;ASSENTOS_OBESIDADE;ACESSO_ASSENTOS_COM_RAMPA;ACESSO_SALA_COM_RAMPA;BANHEIROS_ACESSIVEIS;NOME_COMPLEXO;REGISTRO_COMPLEXO;SITUACAO_COMPLEXO;DATA_SITUACAO_COMPLEXO;PAGINA_ELETRONICA_COMPLEXO;ENDERECO_COMPLEXO;NUMERO_ENDERECO_COMPLEXO;COMPLEMENTO_COMPLEXO;BAIRRO_COMPLEXO;MUNICIPIO_COMPLEXO;CEP_COMPLEXO;UF_COMPLEXO;COMPLEXO_ITINERANTE;OPERACAO_USUAL;NOME_EXIBIDOR;REGISTRO_EXIBIDOR;CNPJ_EXIBIDOR;SITUACAO_EXIBIDOR;NOME_GRUPO_EXIBIDOR
SALA VILA VALE TAUBATE 05;5004259;00.779.721/0062-63;EM FUNCIONAMENTO;07/06/2021;15/03/2013;177;4;;;SIM;NÃO;SIM;2105 CINEMARK VIA VALE TAUBATÉ;24766;EM FUNCIONAMENTO;07/06/2021;;AV. DOM PEDRO I;7181;;JARDIM BARONESA;TAUBATÉ;12091-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA VILA VALE TAUBATE 06;5004260;00.779.721/0062-63;EM FUNCIONAMENTO;07/06/2021;15/03/2013;162;4;;;SIM;NÃO;SIM;2105 CINEMARK VIA VALE TAUBATÉ;24766;EM FUNCIONAMENTO;07/06/2021;;AV. DOM PEDRO I;7181;;JARDIM BARONESA;TAUBATÉ;12091-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
VILLAGE MALL 01;5003634;00.779.721/0058-87;EM FUNCIONAMENTO;24/04/2021;04/11/2012;90;2;1;1;SIM;NÃO;SIM;2106 CINEMARK VILLAGE MALL;22951;EM FUNCIONAMENTO;24/04/2021;WWW.CINEMARK.COM.BR;AV DAS AMÉRICAS ;3900;3º ANDAR LJ 305;BARRA DA TIJUCA ;RIO DE JANEIRO;22640-102;RJ;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
VILLAGE MALL 02;5003635;00.779.721/0058-87;EM FUNCIONAMENTO;24/04/2021;04/11/2012;90;2;1;1;SIM;NÃO;SIM;2106 CINEMARK VILLAGE MALL;22951;EM FUNCIONAMENTO;24/04/2021;WWW.CINEMARK.COM.BR;AV DAS AMÉRICAS ;3900;3º ANDAR LJ 305;BARRA DA TIJUCA ;RIO DE JANEIRO;22640-102;RJ;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
VILLAGE MALL 03;5003636;00.779.721/0058-87;EM FUNCIONAMENTO;24/04/2021;04/11/2012;90;2;1;1;SIM;NÃO;SIM;2106 CINEMARK VILLAGE MALL;22951;EM FUNCIONAMENTO;24/04/2021;WWW.CINEMARK.COM.BR;AV DAS AMÉRICAS ;3900;3º ANDAR LJ 305;BARRA DA TIJUCA ;RIO DE JANEIRO;22640-102;RJ;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
VILLAGE MALL 04;5003637;00.779.721/0058-87;EM FUNCIONAMENTO;24/04/2021;04/11/2012;76;2;1;1;SIM;NÃO;SIM;2106 CINEMARK VILLAGE MALL;22951;EM FUNCIONAMENTO;24/04/2021;WWW.CINEMARK.COM.BR;AV DAS AMÉRICAS ;3900;3º ANDAR LJ 305;BARRA DA TIJUCA ;RIO DE JANEIRO;22640-102;RJ;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK RIOMAR RECIFE 1;5004221;00.779.721/0059-68;EM FUNCIONAMENTO;24/06/2021;21/12/2012;102;3;1;1;SIM;NÃO;SIM;2107 CINEMARK RIOMAR RECIFE;24763;EM FUNCIONAMENTO;24/06/2021;www.cinemark,com.br;AVENIDA REPUBLICA DO LIBANO;251;L4, Lj. 4001;PINA;RECIFE;51110-160;PE;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK RIOMAR RECIFE 10;5004230;00.779.721/0059-68;EM FUNCIONAMENTO;24/06/2021;21/12/2012;161;4;1;1;NÃO;NÃO;SIM;2107 CINEMARK RIOMAR RECIFE;24763;EM FUNCIONAMENTO;24/06/2021;www.cinemark,com.br;AVENIDA REPUBLICA DO LIBANO;251;L4, Lj. 4001;PINA;RECIFE;51110-160;PE;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK RIOMAR RECIFE 11;5004231;00.779.721/0059-68;EM FUNCIONAMENTO;24/06/2021;21/12/2012;231;5;3;3;SIM;NÃO;SIM;2107 CINEMARK RIOMAR RECIFE;24763;EM FUNCIONAMENTO;24/06/2021;www.cinemark,com.br;AVENIDA REPUBLICA DO LIBANO;251;L4, Lj. 4001;PINA;RECIFE;51110-160;PE;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK RIOMAR RECIFE 12;5004232;00.779.721/0059-68;EM FUNCIONAMENTO;24/06/2021;21/12/2012;486;8;5;5;SIM;NÃO;SIM;2107 CINEMARK RIOMAR RECIFE;24763;EM FUNCIONAMENTO;24/06/2021;www.cinemark,com.br;AVENIDA REPUBLICA DO LIBANO;251;L4, Lj. 4001;PINA;RECIFE;51110-160;PE;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
