NOME_SALA,SITUACAO_SALA,DATA_SITUACAO_SALA,ASSENTOS_SALA,ASSENTOS_CADEIRANTES,ASSENTOS_MOBILIDADE_REDUZIDA,ASSENTOS_OBESIDADE,ACESSO_ASSENTOS_COM_RAMPA,ACESSO_SALA_COM_RAMPA,BANHEIROS_ACESSIVEIS,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,SITUACAO_EXIBIDOR
CINEMARK MOOCA PLAZA SHOPPING 05,EM FUNCIONAMENTO,24/04/2021,176.0,4.0,1.0,2.0,SIM,NÃO,SIM,SÃO PAULO,03126-000,SP,REGULAR
CINEMARK MOOCA PLAZA SHOPPING 06,EM FUNCIONAMENTO,24/04/2021,176.0,4.0,1.0,2.0,SIM,NÃO,SIM,SÃO PAULO,03126-000,SP,REGULAR
SALA 01,EM FUNCIONAMENTO,06/08/2021,205.0,4.0,,,SIM,NÃO,SIM,LONDRINA,86027-750,PR,REGULAR
SALA 02,EM FUNCIONAMENTO,06/08/2021,192.0,4.0,,,SIM,NÃO,SIM,LONDRINA,86027-750,PR,REGULAR
SALA 04,EM FUNCIONAMENTO,06/08/2021,268.0,4.0,,,SIM,NÃO,SIM,LONDRINA,86027-750,PR,REGULAR
SALA 05,EM FUNCIONAMENTO,06/08/2021,233.0,4.0,,,SIM,NÃO,SIM,LONDRINA,86027-750,PR,REGULAR
SALA 06,EM FUNCIONAMENTO,06/08/2021,173.0,4.0,,,SIM,NÃO,SIM,LONDRINA,86027-750,PR,REGULAR
SALA 07,EM FUNCIONAMENTO,06/08/2021,439.0,4.0,,,SIM,NÃO,SIM,LONDRINA,86027-750,PR,REGULAR
SALA 3,EM FUNCIONAMENTO,06/08/2021,325.0,4.0,,,SIM,NÃO,SIM,LONDRINA,86027-750,PR,REGULAR
SALA VILA VALE TAUBATE 01,EM FUNCIONAMENTO,07/06/2021,386.0,4.0,,,SIM,NÃO,SIM,TAUBATÉ,12091-000,SP,REGULAR
SALA VILA VALE TAUBATE 02,EM FUNCIONAMENTO,07/06/2021,192.0,4.0,,,SIM,NÃO,SIM,TAUBATÉ,12091-000,SP,REGULAR
SALA VILA VALE TAUBATE 03,EM FUNCIONAMENTO,07/06/2021,192.0,4.0,,,SIM,NÃO,SIM,TAUBATÉ,12091-000,SP,REGULAR
SALA VILA VALE TAUBATE 04,EM FUNCIONAMENTO,07/06/2021,177.0,4.0,,,SIM,NÃO,SIM,TAUBATÉ,12091-000,SP,REGULAR
SALA VILA VALE TAUBATE 05,EM FUNCIONAMENTO,07/06/2021,177.0,4.0,,,SIM,NÃO,SIM,TAUBATÉ,12091-000,SP,REGULAR
