CD_ALUNO;NOMEDEP;RegiaoMetropolitana;DE;MUN;TIPOCLASSE;SERIE_ANO;SEXO;PERIODO;DEF1;DEF2;DEF3;DEF4;DEF5;TOTAL_PONTO_LP;TOTAL_PONTO_MAT;TOTAL_PONTO_CIE;profic_lp;profic_mat;profic_cie;nivel_profic_lp;nivel_profic_mat;nivel_profic_cie
17346265;ESTADUAL-SE;Interior;SAO CARLOS;SAO CARLOS;0;9º Ano EF;F;TARDE;NULL;NULL;NULL;NULL;NULL;12;11;17;222;248;305;Básico;Básico;Adequado
17348152;ESTADUAL-SE;Região Metropolitana de São Paulo;ITAPEVI;BARUERI;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17372659;ESTADUAL-SE;Região Metropolitana de São Paulo;NORTE 2;SAO PAULO;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17377429;ESTADUAL-SE;Interior;BIRIGUI;BIRIGUI;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17394245;ESTADUAL-SE;Interior;ASSIS;ASSIS;0;EM-3ª série;F;MANHÃ;1;8;11;NULL;NULL;5;9;7;214;215;206;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
17394516;ESTADUAL-SE;Interior;LINS;PROMISSAO;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17435428;ESTADUAL-SE;Interior;ADAMANTINA;ADAMANTINA;0;EM-3ª série;M;MANHÃ;1;5;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17442048;ESTADUAL-SE;Região Metropolitana da Baixada Santista;SAO VICENTE;ITANHAEM;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17446845;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;SERTAOZINHO;SERTAOZINHO;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17472037;ESTADUAL-SE;Região Metropolitana de Campinas;AMERICANA;NOVA ODESSA;0;EM-3ª série;M;TARDE;11;NULL;NULL;NULL;NULL;6;5;7;193;191;201;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
17475684;ESTADUAL-SE;Interior;SAO JOAQUIM DA BARRA;IPUA;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17504855;ESTADUAL-SE;Interior;SAO JOSE DO RIO PRETO;SAO JOSE DO RIO PRETO;0;EM-3ª série;F;MANHÃ;11;NULL;NULL;NULL;NULL;4;1;5;192;188;211;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
17563971;ESTADUAL-SE;Região Metropolitana de São Paulo;SUL 3;SAO PAULO;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17573366;ESTADUAL-SE;Interior;ARARAQUARA;NOVA EUROPA;0;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17584969;ESTADUAL-SE;Interior;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;0;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17617854;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;RIBEIRAO PRETO;RIBEIRAO PRETO;0;EM-3ª série;M;TARDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17624913;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;RIBEIRAO PRETO;CRAVINHOS;0;EM-3ª série;M;MANHÃ;10;NULL;NULL;NULL;NULL;1;0;6;169;168;198;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
17642977;ESTADUAL-SE;Interior;TUPA;HERCULANDIA;26;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7;NULL;NULL;237,3;NULL;NULL;Abaixo do Básico
17648695;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;RIBEIRAO PRETO;RIBEIRAO PRETO;0;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;4;3;7;189;178;246;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
17676680;ESTADUAL-SE;Interior;ASSIS;ASSIS;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17690219;ESTADUAL-SE;Interior;MIRANTE DO PARANAPANEMA;TARABAI;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17694002;ESTADUAL-SE;Interior;MIRANTE DO PARANAPANEMA;TARABAI;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17717015;ESTADUAL-SE;Região Metropolitana da Baixada Santista;SAO VICENTE;SAO VICENTE;0;EM-3ª série;F;TARDE;NULL;NULL;NULL;NULL;NULL;7;5;NULL;232;186;NULL;Abaixo do Básico;Abaixo do Básico;NULL
17724562;ESTADUAL-SE;Interior;BIRIGUI;BIRIGUI;17;EM-3ª série;F;TARDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17752132;ESTADUAL-SE;Região Metropolitana de São Paulo;SUL 1;SAO PAULO;0;9º Ano EF;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;16;13;12;253;269;290;Básico;Básico;Básico
17759302;ESTADUAL-SE;Interior;ITARARE;ITARARE;0;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;4;4;6;187;176;223;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
17783599;ESTADUAL-SE;Região Metropolitana de Sorocaba;SAO ROQUE;IBIUNA;0;EM-3ª série;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;5;6;5;187;186;225;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
17845614;ESTADUAL-SE;Interior;BRAGANCA PAULISTA;BRAGANCA PAULISTA;0;EM-3ª série;F;TARDE;7;NULL;NULL;NULL;NULL;9;3;8;216;203;241;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
17870779;ESTADUAL-SE;Região Metropolitana de São Paulo;LESTE 1;SAO PAULO;0;9º Ano EF;M;TARDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17913879;ESTADUAL-SE;Região Metropolitana de São Paulo;CENTRO;SAO PAULO;0;EM-3ª série;M;MANHÃ;1;3;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18048787;ESTADUAL-SE;Interior;ARARAQUARA;ARARAQUARA;0;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18054746;ESTADUAL-SE;Região Metropolitana do Vale do Paraíba e Litoral Norte;GUARATINGUETA;GUARATINGUETA;0;EM-3ª série;F;MANHÃ;4;NULL;NULL;NULL;NULL;9;8;5;228;252;203;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18073082;ESTADUAL-SE;Interior;OURINHOS;OURINHOS;0;EM-3ª série;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;16;5;7;299;234;232;Básico;Abaixo do Básico;Abaixo do Básico
18073899;ESTADUAL-SE;Interior;OURINHOS;SANTA CRUZ DO RIO PARDO;0;9º Ano EF;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;22;21;19;323;342;351;Adequado;Adequado;Avançado
18086429;ESTADUAL-SE;Região Metropolitana de Sorocaba;VOTORANTIM;VOTORANTIM;26;EM-3ª série;M;TARDE;1;8;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18091005;ESTADUAL-SE;Interior;BOTUCATU;BOTUCATU;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18091338;ESTADUAL-SE;Interior;ADAMANTINA;ADAMANTINA;0;EM-3ª série;M;MANHÃ;1;9;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18101810;ESTADUAL-SE;Interior;JABOTICABAL;MONTE AZUL PAULISTA;0;EM-3ª série;M;MANHÃ;11;NULL;NULL;NULL;NULL;5;4;5;172;229;218;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18102469;ESTADUAL-SE;Interior;MOGI MIRIM;MOGI GUACU;26;EM-3ª série;F;NOITE;4;NULL;NULL;NULL;NULL;11;4;11;254;217;287;Básico;Abaixo do Básico;Básico
18106004;ESTADUAL-SE;Região Metropolitana de São Paulo;SUL 3;SAO PAULO;17;9º Ano EF;F;MANHÃ;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18107825;ESTADUAL-SE;Interior;MOGI MIRIM;AMPARO;0;EM-3ª série;M;TARDE;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18108386;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;RIBEIRAO PRETO;RIBEIRAO PRETO;0;EM-3ª série;F;MANHÃ;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18115975;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;SERTAOZINHO;SERTAOZINHO;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;21;21;NULL;329;382;NULL;Adequado;Adequado;NULL
18141055;ESTADUAL-OUT;Interior;OURINHOS;SANTA CRUZ DO RIO PARDO;0;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;22;21;14;354;378;353;Adequado;Adequado;Adequado
18152064;ESTADUAL-SE;Região Metropolitana de São Paulo;ITAQUAQUECETUBA;ITAQUAQUECETUBA;26;EM-3ª série;F;TARDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18165619;ESTADUAL-SE;Interior;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18179998;ESTADUAL-SE;Interior;OURINHOS;IPAUSSU;0;EM-3ª série;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;11;9;10;256;266;257;Básico;Abaixo do Básico;Abaixo do Básico
18201917;ESTADUAL-SE;Interior;OURINHOS;OURINHOS;0;9º Ano EF;M;TARDE;NULL;NULL;NULL;NULL;NULL;18;15;12;279;299;291;Adequado;Básico;Básico
18204720;ESTADUAL-SE;Região Metropolitana de São Paulo;SUL 2;SAO PAULO;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18216273;ESTADUAL-SE;Região Metropolitana da Baixada Santista;SAO VICENTE;PRAIA GRANDE;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;6;8;6;222;231;243;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18234049;ESTADUAL-SE;Interior;BAURU;BAURU;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18262599;ESTADUAL-SE;Interior;MIRACATU;ITARIRI;0;EM-3ª série;M;TARDE;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18263253;ESTADUAL-SE;Interior;OURINHOS;IPAUSSU;0;EM-3ª série;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;18;6;14;317;235;322;Adequado;Abaixo do Básico;Básico
18268611;ESTADUAL-SE;Interior;OURINHOS;OURINHOS;0;9º Ano EF;M;TARDE;NULL;NULL;NULL;NULL;NULL;18;12;14;272;251;283;Básico;Básico;Básico
18284311;ESTADUAL-OUT;Interior;OURINHOS;IPAUSSU;0;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;14;8;9;272;284;256;Básico;Básico;Abaixo do Básico
18396581;ESTADUAL-SE;Região Metropolitana de São Paulo;CARAPICUIBA;COTIA;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18396586;ESTADUAL-SE;Região Metropolitana de São Paulo;CARAPICUIBA;COTIA;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18398058;ESTADUAL-SE;Interior;SAO JOAO DA BOA VISTA;ESPIRITO SANTO DO PINHAL;0;EM-3ª série;M;MANHÃ;1;9;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18402511;ESTADUAL-SE;Interior;TAQUARITINGA;ITAPOLIS;0;9º Ano EF;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;17;20;21;265;322;337;Básico;Adequado;Adequado
18402711;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;SAO JOAO DA BOA VISTA;MOCOCA;0;EM-3ª série;M;TARDE;NULL;NULL;NULL;NULL;NULL;3;5;3;173;204;181;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18404288;ESTADUAL-SE;Interior;PIRACICABA;SALTINHO;0;9º Ano EF;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;24;22;22;376;371;405;Avançado;Avançado;Avançado
18412793;ESTADUAL-SE;Interior;PIRACICABA;PIRACICABA;0;9º Ano EF;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;17;9;15;260;270;328;Básico;Básico;Adequado
18431631;ESTADUAL-SE;Região Metropolitana de São Paulo;SUL 1;SAO PAULO;0;EM-3ª série;F;TARDE;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18432205;ESTADUAL-SE;Interior;BOTUCATU;BOFETE;0;EM-3ª série;M;TARDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9;NULL;NULL;258,4;NULL;NULL;Abaixo do Básico
18444287;ESTADUAL-SE;Região Metropolitana de Campinas;AMERICANA;AMERICANA;0;EM-3ª série;F;TARDE;11;NULL;NULL;NULL;NULL;6;5;6;194;211;241;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18448237;ESTADUAL-SE;Interior;LINS;LINS;0;EM-3ª série;M;MANHÃ;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18450634;ESTADUAL-SE;Interior;ITAPEVA;NOVA CAMPINA;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18451758;ESTADUAL-SE;Interior;ITAPEVA;NOVA CAMPINA;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18485104;ESTADUAL-SE;Interior;SAO JOAQUIM DA BARRA;BURITIZAL;0;EM-3ª série;F;MANHÃ;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18494574;ESTADUAL-OUT;Interior;OURINHOS;IPAUSSU;0;EM-3ª série;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;20;11;14;333;279;303;Adequado;Básico;Básico
18496124;ESTADUAL-SE;Região Metropolitana da Baixada Santista;SANTOS;SANTOS;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;9;7;4;246;252;200;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18497243;ESTADUAL-SE;Interior;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;0;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18512639;ESTADUAL-SE;Interior;OURINHOS;OURINHOS;0;9º Ano EF;M;TARDE;9;NULL;NULL;NULL;NULL;18;3;15;266;154;336;Básico;Abaixo do Básico;Adequado
18516086;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;SERTAOZINHO;BARRINHA;0;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18521122;ESTADUAL-SE;Interior;BARRETOS;OLIMPIA;17;EM-3ª série;M;TARDE;NULL;NULL;NULL;NULL;NULL;14;8;7;280;261;222;Básico;Abaixo do Básico;Abaixo do Básico
18523063;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;SERTAOZINHO;PITANGUEIRAS;0;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18530376;ESTADUAL-OUT;Interior;OURINHOS;IPAUSSU;0;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;18;20;12;320;363;311;Adequado;Adequado;Básico
18532525;ESTADUAL-SE;Interior;OURINHOS;CHAVANTES;0;9º Ano EF;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;13;5;9;215;163;239;Básico;Abaixo do Básico;Básico
18549011;ESTADUAL-SE;Interior;SAO JOAQUIM DA BARRA;IGARAPAVA;0;EM-3ª série;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18550367;ESTADUAL-SE;Interior;ITAPETININGA;ITAPETININGA;0;EM-3ª série;F;TARDE;NULL;NULL;NULL;NULL;NULL;8;7;4;229;229;178;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18555528;ESTADUAL-SE;Região Metropolitana do Vale do Paraíba e Litoral Norte;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;0;EM-3ª série;F;MANHÃ;11;NULL;NULL;NULL;NULL;4;8;6;172;210;213;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18556158;ESTADUAL-SE;Interior;FRANCA;PEDREGULHO;0;EM-3ª série;M;MANHÃ;11;NULL;NULL;NULL;NULL;3;6;10;162;219;307;Abaixo do Básico;Abaixo do Básico;Básico
18575731;ESTADUAL-SE;Interior;VOTUPORANGA;MACAUBAL;0;EM-3ª série;F;TARDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18575768;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;SAO JOAO DA BOA VISTA;MOCOCA;0;EM-3ª série;M;MANHÃ;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18576555;ESTADUAL-SE;Interior;SAO JOAQUIM DA BARRA;SAO JOAQUIM DA BARRA;0;EM-3ª série;F;TARDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18588079;ESTADUAL-SE;Região Metropolitana de Sorocaba;ITU;BOITUVA;0;EM-3ª série;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18589695;ESTADUAL-SE;Região Metropolitana de Campinas;SUMARE;PAULINIA;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18591936;ESTADUAL-SE;Interior;ARARAQUARA;ARARAQUARA;0;EM-3ª série;F;NOITE;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18592681;ESTADUAL-SE;Interior;SAO JOAO DA BOA VISTA;SAO JOAO DA BOA VISTA;0;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18593399;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;SERTAOZINHO;SERTAOZINHO;0;9º Ano EF;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18599858;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;SERTAOZINHO;SERTAOZINHO;0;EM-3ª série;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;16;6;12;282;221;303;Básico;Abaixo do Básico;Básico
18612097;ESTADUAL-SE;Interior;SAO JOSE DO RIO PRETO;SAO JOSE DO RIO PRETO;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18612149;ESTADUAL-SE;Interior;PIRASSUNUNGA;ARARAS;17;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;9;8;2;222;230;215;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18613915;ESTADUAL-SE;Interior;JUNDIAI;JUNDIAI;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;4;9;NULL;184;297;NULL;Abaixo do Básico;Básico;NULL
18615760;MUNICIPAL;Interior;PIRASSUNUNGA;PORTO FERREIRA;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;6;5;NULL;218;233;NULL;Abaixo do Básico;Abaixo do Básico;NULL
18616836;ESTADUAL-SE;Interior;BIRIGUI;BIRIGUI;0;EM-3ª série;F;TARDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18618531;ESTADUAL-SE;Região Metropolitana de Campinas;JUNDIAI;ITATIBA;0;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;9;5;7;235;240;250;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18621349;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;SERTAOZINHO;SERTAOZINHO;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18622813;ESTADUAL-SE;Região Metropolitana de São Paulo;NORTE 1;SAO PAULO;0;EM-3ª série;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7;NULL;NULL;234;NULL;NULL;Abaixo do Básico
18630183;ESTADUAL-SE;Interior;MIRANTE DO PARANAPANEMA;TEODORO SAMPAIO;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;12;5;6;265;206;223;Básico;Abaixo do Básico;Abaixo do Básico
18632549;ESTADUAL-SE;Região Metropolitana do Vale do Paraíba e Litoral Norte;CARAGUATATUBA;CARAGUATATUBA;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;3;2;7;177;203;236;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18636657;ESTADUAL-SE;Região Metropolitana de Campinas;SUMARE;PAULINIA;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18638906;ESTADUAL-SE;Região Metropolitana de Campinas;SUMARE;PAULINIA;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;6;2;6;179;178;221;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18639417;ESTADUAL-SE;Região Metropolitana de Campinas;CAMPINAS OESTE;CAMPINAS;0;EM-3ª série;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;8;9;5;229;237;188;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18662175;ESTADUAL-SE;Interior;TAQUARITINGA;IBITINGA;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;4;2;7;190;215;271;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18672227;ESTADUAL-SE;Região Metropolitana de São Paulo;TABOAO DA SERRA;EMBU DAS ARTES;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18672582;ESTADUAL-SE;Região Metropolitana de Campinas;SUMARE;PAULINIA;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18673156;ESTADUAL-SE;Interior;SAO JOAQUIM DA BARRA;SAO JOAQUIM DA BARRA;0;EM-3ª série;M;TARDE;NULL;NULL;NULL;NULL;NULL;3;9;9;172;249;240;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18675075;ESTADUAL-SE;Região Metropolitana de São Paulo;TABOAO DA SERRA;EMBU DAS ARTES;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18686711;ESTADUAL-SE;Região Metropolitana de Campinas;SUMARE;SUMARE;0;9º Ano EF;F;MANHÃ;1;8;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18687746;ESTADUAL-SE;Interior;MIRANTE DO PARANAPANEMA;TARABAI;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18687911;ESTADUAL-SE;Região Metropolitana do Vale do Paraíba e Litoral Norte;CARAGUATATUBA;SAO SEBASTIAO;0;EM-3ª série;M;TARDE;4;NULL;NULL;NULL;NULL;6;8;6;211;199;232;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18690189;ESTADUAL-SE;Interior;MIRANTE DO PARANAPANEMA;TARABAI;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;8;6;6;208;227;220;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18692705;ESTADUAL-SE;Interior;AVARE;AVARE;0;9º Ano EF;M;MANHÃ;10;NULL;NULL;NULL;NULL;0;0;0;122;142;128;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18700317;ESTADUAL-SE;Interior;ARARAQUARA;ARARAQUARA;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18709671;ESTADUAL-SE;Região Metropolitana de Sorocaba;SOROCABA;SOROCABA;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;4;8;8;201;260;275;Abaixo do Básico;Abaixo do Básico;Básico
18736661;ESTADUAL-SE;Interior;MARILIA;LUPERCIO;0;EM-3ª série;M;MANHÃ;20;NULL;NULL;NULL;NULL;7;2;2;209;175;167;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
18738839;ESTADUAL-SE;Região Metropolitana de São Paulo;ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;0;EM-3ª série;F;TARDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
