CD_ALUNO;NOMEDEP;RegiaoMetropolitana;DE;MUN;TIPOCLASSE;SERIE_ANO;SEXO;PERIODO;DEF1;DEF2;DEF3;DEF4;DEF5;TOTAL_PONTO_LP;TOTAL_PONTO_MAT;TOTAL_PONTO_CIE;profic_lp;profic_mat;profic_cie;nivel_profic_lp;nivel_profic_mat;nivel_profic_cie
9104276;ESTADUAL-SE;Interior;BAURU;BAURU;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;11;8;5;267;253;211;Básico;Abaixo do Básico;Abaixo do Básico
9200010;ESTADUAL-SE;Região Metropolitana do Vale do Paraíba e Litoral Norte;GUARATINGUETA;SILVEIRAS;0;9º Ano EF;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;4;9;7;166;188;204;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
9552691;ESTADUAL-SE;Região Metropolitana de São Paulo;SUL 1;SAO PAULO;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
10152543;ESTADUAL-SE;Interior;ITARARE;BOM SUCESSO DE ITARARE;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;3;2;5;167;180;205;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
10405061;ESTADUAL-SE;Interior;PENAPOLIS;AVANHANDAVA;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
10642520;ESTADUAL-SE;Interior;APIAI;ITAPIRAPUA PAULISTA;0;EM-3ª série;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;12;9;8;257;275;218;Básico;Básico;Abaixo do Básico
10892971;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;RIBEIRAO PRETO;CAJURU;0;EM-3ª série;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;8;6;11;237;215;286;Abaixo do Básico;Abaixo do Básico;Básico
11151047;ESTADUAL-SE;Interior;BRAGANCA PAULISTA;PIRACAIA;0;EM-3ª série;M;MANHÃ;10;NULL;NULL;NULL;NULL;3;3;4;167;203;192;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
11382486;ESTADUAL-SE;Interior;TUPA;HERCULANDIA;26;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
11692811;ESTADUAL-SE;Interior;TUPA;PARAPUA;0;EM-3ª série;F;TARDE;NULL;NULL;NULL;NULL;NULL;6;8;6;208;283;221;Abaixo do Básico;Básico;Abaixo do Básico
12603093;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;SERTAOZINHO;SERTAOZINHO;26;EM-3ª série;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;15;8;12;288;261;309;Básico;Abaixo do Básico;Básico
13243178;ESTADUAL-SE;Região Metropolitana do Vale do Paraíba e Litoral Norte;GUARATINGUETA;GUARATINGUETA;0;9º Ano EF;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;14;7;7;234;213;225;Básico;Abaixo do Básico;Básico
13305130;ESTADUAL-SE;Interior;BARRETOS;OLIMPIA;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
13366303;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;SAO JOAO DA BOA VISTA;MOCOCA;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;15;15;NULL;277;318;NULL;Básico;Básico;NULL
13551657;ESTADUAL-SE;Região Metropolitana de São Paulo;LESTE 1;SAO PAULO;0;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;17;14;NULL;315;306;NULL;Adequado;Básico;NULL
14081266;ESTADUAL-SE;Interior;APIAI;ITAOCA;17;EM-3ª série;F;TARDE;NULL;NULL;NULL;NULL;NULL;7;1;3;197;169;194;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
14598027;ESTADUAL-SE;Interior;MIRANTE DO PARANAPANEMA;TARABAI;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
14618833;ESTADUAL-SE;Região Metropolitana de São Paulo;SUL 1;SAO PAULO;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
15165553;ESTADUAL-SE;Região Metropolitana de Sorocaba;VOTORANTIM;TAPIRAI;26;EM-3ª série;M;TARDE;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
15167816;ESTADUAL-SE;Região Metropolitana de São Paulo;SUL 3;SAO PAULO;0;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
15192737;ESTADUAL-SE;Interior;FRANCA;PEDREGULHO;26;EM-3ª série;F;MANHÃ;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
15260264;ESTADUAL-SE;Interior;BRAGANCA PAULISTA;VARGEM;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
15266656;ESTADUAL-SE;Interior;ITAPEVA;ITAPEVA;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;8;5;7;221;241;238;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
15408000;ESTADUAL-SE;Interior;ITAPEVA;NOVA CAMPINA;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
15432908;ESTADUAL-SE;Interior;ITARARE;BARAO DE ANTONINA;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;6;4;7;210;205;231;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
15450599;ESTADUAL-SE;Região Metropolitana de São Paulo;MOGI DAS CRUZES;MOGI DAS CRUZES;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
15476370;ESTADUAL-SE;Região Metropolitana de São Paulo;SUL 3;SAO PAULO;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;8;6;10;215;255;238;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
15595958;ESTADUAL-SE;Região Metropolitana de Campinas;AMERICANA;NOVA ODESSA;17;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;8;7;10;228;246;283;Abaixo do Básico;Abaixo do Básico;Básico
15600823;ESTADUAL-SE;Interior;LINS;PONGAI;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;14;12;9;281;283;246;Básico;Básico;Abaixo do Básico
15603060;ESTADUAL-SE;Região Metropolitana do Vale do Paraíba e Litoral Norte;TAUBATE;NATIVIDADE DA SERRA;0;EM-3ª série;M;TARDE;11;NULL;NULL;NULL;NULL;4;7;5;183;216;188;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
15677348;ESTADUAL-SE;Interior;OURINHOS;ESPIRITO SANTO DO TURVO;0;EM-3ª série;F;NOITE;4;NULL;NULL;NULL;NULL;17;20;17;307;364;391;Adequado;Adequado;Adequado
15686914;ESTADUAL-SE;Interior;MIRANTE DO PARANAPANEMA;TARABAI;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
15687336;ESTADUAL-SE;Interior;ARARAQUARA;MOTUCA;0;EM-3ª série;M;TARDE;NULL;NULL;NULL;NULL;NULL;17;11;10;304;277;253;Adequado;Básico;Abaixo do Básico
15710794;ESTADUAL-SE;Interior;SAO JOSE DO RIO PRETO;CEDRAL;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;6;7;4;184;228;187;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
15717236;ESTADUAL-SE;Interior;JUNDIAI;VARZEA PAULISTA;0;EM-3ª série;M;TARDE;NULL;NULL;NULL;NULL;NULL;17;16;15;317;337;346;Adequado;Básico;Básico
15735997;ESTADUAL-SE;Região Metropolitana da Baixada Santista;SAO VICENTE;SAO VICENTE;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
15789669;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;SERTAOZINHO;SERTAOZINHO;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
15799228;ESTADUAL-SE;Região Metropolitana de Sorocaba;ITAPETININGA;SAO MIGUEL ARCANJO;0;9º Ano EF;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;14;11;7;241;257;212;Básico;Básico;Abaixo do Básico
15843129;ESTADUAL-SE;Interior;AVARE;IARAS;0;EM-3ª série;F;TARDE;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
15854727;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;JABOTICABAL;MONTE ALTO;0;9º Ano EF;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;16;4;11;270;192;260;Básico;Abaixo do Básico;Básico
15892656;ESTADUAL-SE;Interior;BAURU;PIRAJUI;0;9º Ano EF;F;MANHÃ;10;NULL;NULL;NULL;NULL;22;11;13;317;273;274;Adequado;Básico;Básico
15899854;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;RIBEIRAO PRETO;RIBEIRAO PRETO;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;6;5;4;174;203;216;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
15932082;ESTADUAL-SE;Interior;JAU;MINEIROS DO TIETE;0;9º Ano EF;F;TARDE;1;7;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16040938;ESTADUAL-SE;Região Metropolitana de Sorocaba;BOTUCATU;CESARIO LANGE;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16116123;ESTADUAL-SE;Interior;SAO JOAO DA BOA VISTA;VARGEM GRANDE DO SUL;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16170793;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;SERTAOZINHO;BARRINHA;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16209278;ESTADUAL-SE;Região Metropolitana da Baixada Santista;SAO VICENTE;ITANHAEM;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16210033;ESTADUAL-SE;Região Metropolitana de São Paulo;TABOAO DA SERRA;EMBU DAS ARTES;0;EM-3ª série;F;MANHÃ;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16214316;MUNICIPAL;Região Metropolitana de São Paulo;MOGI DAS CRUZES;SALESOPOLIS;0;2º Ano EF;M;TARDE;NULL;NULL;NULL;NULL;NULL;14;16;NULL;217;278;NULL;Avançado;Avançado;NULL
16224396;ESTADUAL-SE;Região Metropolitana de Campinas;SUMARE;PAULINIA;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16332703;ESTADUAL-SE;Região Metropolitana do Vale do Paraíba e Litoral Norte;GUARATINGUETA;LORENA;0;EM-3ª série;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16341520;ESTADUAL-SE;Região Metropolitana de São Paulo;TABOAO DA SERRA;EMBU DAS ARTES;0;EM-3ª série;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16595072;ESTADUAL-SE;Região Metropolitana de São Paulo;SUL 1;SAO PAULO;0;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16606952;ESTADUAL-SE;Região Metropolitana de São Paulo;SUL 2;SAO PAULO;0;5º Ano EF;F;TARDE;NULL;NULL;NULL;NULL;NULL;13;5;12;194;140;213;Básico;Abaixo do Básico;Básico
16674634;MUNICIPAL;Região Metropolitana de Ribeirão Preto;SERTAOZINHO;JARDINOPOLIS;0;9º Ano EF;M;MANHÃ;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16698461;ESTADUAL-SE;Interior;SAO JOAQUIM DA BARRA;SAO JOAQUIM DA BARRA;0;EM-3ª série;F;TARDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
