nquest,idade1,faixa etária,sexo,cor,REGIAO,RCLASSE2,estcivil,renda,escola,nfilhos,p52aa,p55,p56,p66,p64g,p64h,rendacat,escolacat,p64b,p64gn,p64hn,p52aan,p55n,p56n,perfil,perfil binário
193205178,18,16-24,Feminino,Parda,Nordeste,D/E,Solteiro (a),Recusa,Ensino Médio completo,0,Youtube,0,0,Frequentemente,Discorda Em Parte,Discorda Em Parte,97,5,4,2,2,1,0,0,apostador,1
193205364,18,16-24,Masculino,Parda,Sudeste,C1,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Em Parte,9,4,4,1,2,0,2,0,apostador,1
193206265,28,25-34,Masculino,Branca,Sudeste,A,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Sim,Amigos/ Parentes,Frequentemente,Concorda Em Parte,Concorda Totalmente,9,5,5,4,5,0,1,6,apostador,1
193206303,36,35-44,Masculino,Preta,Nordeste,C1,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,4,Instagram,0,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,2,5,5,5,5,2,0,0,apostador,1
193207603,16,16-24,Masculino,Parda,Nordeste,B2,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio incompleto,0,0,Sim,Outras respostas,Frequentemente,Discorda Totalmente,Concorda Totalmente,2,4,5,1,5,0,1,98,apostador,1
193208693,30,25-34,Masculino,Preta,Centro Oeste,B2,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,0,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,2,5,2,1,1,0,2,0,apostador,1
193209219,35,35-44,Feminino,Parda,Sudeste,B2,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Superior completo,2,Instagram,0,0,Frequentemente,Concorda Em Parte,Concorda Totalmente,1,7,5,4,5,2,0,0,apostador,1
193214867,17,16-24,Feminino,Parda,Sudeste,C2,Solteiro (a),Não sabe,Fundamental II completo,0,0,Sim,"Internet/ Google/ Redes Sociais (Facebook, Instagram)/ YouTube",Frequentemente,Discorda Totalmente,Discorda Totalmente,99,3,2,1,1,0,1,12,apostador,1
193215526,44,35-44,Feminino,Preta,Sul,C1,Solteiro (a),"De R$ 6.601,00 Até R$ 13.200,00",Superior incompleto,2,0,Sim,Sites de noticias,Frequentemente,Concorda Em Parte,Discorda Totalmente,4,6,5,4,1,0,1,3,apostador,1
193216478,33,25-34,Masculino,Parda,Norte,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,1,0,Nao,0,Frequentemente,Concorda Totalmente,Discorda Totalmente,9,5,5,5,1,0,2,0,apostador,1
193219134,35,35-44,Masculino,Parda,Nordeste,C2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,1,0,Nao,0,Frequentemente,Concorda Em Parte,Discorda Totalmente,1,5,5,4,1,0,2,0,apostador,1
193222872,36,35-44,Masculino,Parda,Sul,B2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,0,0,Nao,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,1,5,5,5,5,0,2,0,apostador,1
193223354,38,35-44,Masculino,Preta,Sudeste,B2,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Fundamental I completo/ Fundamental II incompleto,1,0,Sim,Amigos/ Parentes,Frequentemente,Concorda Totalmente,Concorda Totalmente,2,2,5,5,5,0,1,6,apostador,1
193223373,18,16-24,Masculino,Parda,Sudeste,A,Solteiro (a),"De R$ 3.961,00 Até R$ 6.600,00",Ensino Médio incompleto,0,Podcasts,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,3,4,5,1,1,6,0,0,apostador,1
193223698,26,25-34,Masculino,Branca,Sudeste,C2,Solteiro (a),"De R$ 3.961,00 Até R$ 6.600,00",Ensino Médio completo,0,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Em Parte,3,5,5,1,2,0,2,0,apostador,1
193224959,18,16-24,Feminino,Branca,Nordeste,C1,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,Instagram,0,0,Frequentemente,Concorda Totalmente,Discorda Em Parte,9,5,5,5,2,2,0,0,apostador,1
193226029,30,25-34,Masculino,Amarela,Sudeste,C1,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Analfabeto/ Fundamental I incompleto,2,0,Sim,"Internet/ Google/ Redes Sociais (Facebook, Instagram)/ YouTube",Frequentemente,Discorda Totalmente,Discorda Totalmente,2,1,5,1,1,0,1,12,apostador,1
193227132,42,35-44,Masculino,Parda,Nordeste,C2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,0,0,Sim,"Presencialmente, ou seja, falando com o gerente ou com o assessor/ especialista de investimento. (presencialmente na age",Frequentemente,Discorda Em Parte,Concorda Totalmente,1,5,5,2,5,0,1,1,apostador,1
193228293,25,25-34,Masculino,Parda,Sudeste,B2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,0,Telegram,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,1,5,5,1,1,10,0,0,apostador,1
193229085,42,35-44,Masculino,Preta,Sudeste,C1,Casado(a)/com companheiro(a),"De R$ 3.961,00 Até R$ 6.600,00",Ensino Médio incompleto,6,0,Nao,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,3,4,5,5,5,0,2,0,apostador,1
193231330,22,16-24,Masculino,Parda,Sudeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Nao,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,9,5,5,5,5,0,2,0,apostador,1
193232213,32,25-34,Masculino,Parda,Nordeste,D/E,Solteiro (a),"De R$ 3.961,00 Até R$ 6.600,00",Fundamental I completo/ Fundamental II incompleto,2,Instagram,0,0,Frequentemente,Concorda Totalmente,Discorda Em Parte,3,2,4,5,2,2,0,0,apostador,1
193238103,41,35-44,Masculino,Preta,Sudeste,C2,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,4,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,1,5,5,1,1,0,2,0,apostador,1
193247751,30,25-34,Masculino,Preta,Nordeste,C2,Solteiro (a),"De R$ 3.961,00 Até R$ 6.600,00",Ensino Médio incompleto,2,Instagram,0,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,3,4,5,5,5,2,0,0,apostador,1
193249950,29,25-34,Feminino,Preta,Norte,C1,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Superior completo,1,0,Sim,Sites de noticias,Frequentemente,Discorda Totalmente,Discorda Totalmente,1,7,5,1,1,0,1,3,apostador,1
193269361,21,16-24,Masculino,Preta,Sudeste,D/E,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio incompleto,1,0,Nao,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,1,4,5,5,5,0,2,0,apostador,1
193271120,23,16-24,Masculino,Parda,Centro Oeste,B1,Casado(a)/com companheiro(a),"De R$ 6.601,00 Até R$ 13.200,00",Superior completo,1,WhatsApp,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,4,7,5,1,1,3,0,0,apostador,1
193271472,18,16-24,Masculino,Parda,Sudeste,A,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,0,Sim,"Internet/ Google/ Redes Sociais (Facebook, Instagram)/ YouTube",Frequentemente,Concorda Totalmente,Concorda Totalmente,9,4,5,5,5,0,1,12,apostador,1
193272843,18,16-24,Masculino,Preta,Sul,C2,Casado(a)/com companheiro(a),Recusa,Ensino Médio completo,0,0,Sim,Sites de noticias,Frequentemente,Discorda Em Parte,Concorda Em Parte,97,5,2,2,4,0,1,3,apostador,1
193273506,35,35-44,Masculino,Parda,Nordeste,B2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,Youtube,0,0,Frequentemente,Concorda Em Parte,Concorda Em Parte,9,5,5,4,4,1,0,0,apostador,1
193279264,19,16-24,Feminino,Branca,Sudeste,B2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Superior incompleto,0,0,Nao,0,Frequentemente,Discorda Totalmente,Concorda Totalmente,1,6,5,1,5,0,2,0,apostador,1
193280723,17,16-24,Masculino,Parda,Sudeste,B2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio incompleto,0,Youtube,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,1,4,2,1,1,1,0,0,apostador,1
193281019,19,16-24,Masculino,Branca,Sudeste,C2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio incompleto,0,Instagram,0,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,1,4,5,5,5,2,0,0,apostador,1
193281266,18,16-24,Masculino,Branca,Sul,B2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,0,Youtube,0,0,Frequentemente,Concorda Em Parte,Concorda Totalmente,1,5,5,4,5,1,0,0,apostador,1
193285641,22,16-24,Masculino,Parda,Sudeste,B2,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,0,Youtube,0,0,Frequentemente,Discorda Totalmente,Discorda Em Parte,2,5,5,1,2,1,0,0,apostador,1
193287143,18,16-24,Masculino,Preta,Sudeste,B2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio incompleto,0,Youtube,0,0,Frequentemente,Discorda Totalmente,Concorda Em Parte,1,4,5,1,4,1,0,0,apostador,1
193287411,36,35-44,Masculino,Parda,Sudeste,B2,Solteiro (a),"De R$ 3.961,00 Até R$ 6.600,00",Superior completo,1,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,3,7,1,1,1,0,2,0,apostador,1
193288431,41,35-44,Masculino,Branca,Sudeste,B1,Solteiro (a),"De R$ 3.961,00 Até R$ 6.600,00",Superior completo,1,Youtube,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,3,7,4,1,1,1,0,0,apostador,1
193376184,22,16-24,Masculino,Parda,Sudeste,C2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,0,0,Nao,0,Frequentemente,Concorda Em Parte,Concorda Em Parte,1,5,5,4,4,0,2,0,apostador,1
193376993,79,60+,Masculino,Branca,Sudeste,B2,Separado/Divorciado,"De R$ 3.961,00 Até R$ 6.600,00",Superior completo,2,Youtube,0,0,Frequentemente,Concorda Totalmente,Concorda Em Parte,3,7,4,5,4,1,0,0,apostador,1
193379006,53,45-59,Masculino,Preta,Nordeste,C2,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio incompleto,0,0,Nao,0,Frequentemente,Concorda Em Parte,Discorda Em Parte,1,4,4,4,2,0,2,0,apostador,1
193381173,18,16-24,Feminino,Parda,Sudeste,B1,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,Youtube,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,9,5,5,1,1,1,0,0,apostador,1
193381546,22,16-24,Feminino,Parda,Sudeste,C2,Solteiro (a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,3,0,Nao,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,9,2,5,5,5,0,2,0,apostador,1
193383335,25,25-34,Masculino,Branca,Sudeste,C2,Viuvo(a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Sim,Amigos/ Parentes,Frequentemente,Não Sabe,Concorda Totalmente,9,5,5,99,5,0,1,6,apostador,1
193383436,17,16-24,Masculino,Parda,Sudeste,B2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,Linkedin,0,0,Frequentemente,Discorda Totalmente,Discorda Em Parte,9,4,4,1,2,4,0,0,apostador,1
193384332,19,16-24,Masculino,Branca,Sudeste,C1,Solteiro (a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,0,0,Nao,0,Frequentemente,Concorda Em Parte,Discorda Totalmente,9,2,5,4,1,0,2,0,apostador,1
193390081,35,35-44,Masculino,Branca,Sudeste,C2,Casado(a)/com companheiro(a),"De R$ 3.961,00 Até R$ 6.600,00",Ensino Médio completo,1,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,3,5,5,1,1,0,2,0,apostador,1
193394467,49,45-59,Feminino,Branca,Sudeste,D/E,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Analfabeto/ Fundamental I incompleto,3,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,1,1,5,1,1,0,2,0,apostador,1
193396425,34,25-34,Masculino,Branca,Nordeste,C2,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Pós-graduação,0,0,Sim,"Internet/ Google/ Redes Sociais (Facebook, Instagram)/ YouTube",Frequentemente,Concorda Totalmente,Discorda Totalmente,2,8,5,5,1,0,1,12,apostador,1
193397440,20,16-24,Masculino,Parda,Sudeste,B2,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,0,Instagram,0,0,Frequentemente,Discorda Totalmente,Concorda Totalmente,2,5,5,1,5,2,0,0,apostador,1
193398081,40,35-44,Masculino,Parda,Nordeste,C1,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,5,Youtube,0,0,Frequentemente,Discorda Em Parte,Discorda Totalmente,1,5,5,2,1,1,0,0,apostador,1
193398743,46,45-59,Masculino,Preta,Centro Oeste,B1,Casado(a)/com companheiro(a),"De R$ 3.961,00 Até R$ 6.600,00",Fundamental I completo/ Fundamental II incompleto,2,Youtube,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,3,2,5,1,1,1,0,0,apostador,1
193399836,18,16-24,Masculino,Parda,Nordeste,B2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,Instagram,0,0,Frequentemente,Concorda Em Parte,Discorda Totalmente,9,4,5,4,1,2,0,0,apostador,1
193400007,63,60+,Masculino,Parda,Nordeste,C1,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental II completo,2,0,0,0,Frequentemente,Concorda Em Parte,Discorda Em Parte,9,3,5,4,2,0,0,0,apostador,1
193401649,21,16-24,Masculino,Branca,Sudeste,D/E,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,0,Instagram,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,1,5,5,1,1,2,0,0,apostador,1
193402571,19,16-24,Masculino,Parda,Sudeste,B1,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio incompleto,0,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,1,4,5,1,1,0,2,0,apostador,1
193402966,26,25-34,Feminino,Parda,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,2,0,Nao,0,Frequentemente,Concorda Totalmente,Discorda Em Parte,9,5,5,5,2,0,2,0,apostador,1
193404996,35,35-44,Masculino,Branca,Sudeste,A,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Superior completo,0,Portal / site,0,0,Frequentemente,Não Concorda E Nem Discorda,Concorda Totalmente,2,7,5,3,5,5,0,0,apostador,1
193406189,18,16-24,Masculino,Branca,Sul,B2,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,0,Instagram,0,0,Frequentemente,Discorda Totalmente,Concorda Totalmente,2,5,5,1,5,2,0,0,apostador,1
193408117,21,16-24,Masculino,Branca,Norte,C1,Solteiro (a),"De R$ 3.961,00 Até R$ 6.600,00",Ensino Médio completo,0,Youtube,0,0,Frequentemente,Discorda Totalmente,Discorda Em Parte,3,5,5,1,2,1,0,0,apostador,1
193409857,52,45-59,Masculino,Branca,Norte,C1,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Superior completo,0,0,Sim,Banco/ gerente de banco (sem especificar),Frequentemente,Concorda Em Parte,Concorda Em Parte,2,7,5,4,4,0,1,18,apostador,1
193437426,34,25-34,Feminino,Parda,Nordeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio completo,2,0,Nao,0,Frequentemente,Discorda Totalmente,Concorda Totalmente,9,5,4,1,5,0,2,0,apostador,1
193439838,60,60+,Masculino,Parda,Nordeste,B2,Separado/Divorciado,"De R$ 3.961,00 Até R$ 6.600,00",Ensino Médio completo,3,Facebook,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,3,5,5,1,1,11,0,0,apostador,1
193442903,20,16-24,Masculino,Amarela,Sudeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,0,0,0,Frequentemente,Concorda Totalmente,Discorda Totalmente,9,5,5,5,1,0,0,0,apostador,1
193443035,32,25-34,Feminino,Branca,Sudeste,A,Solteiro (a),"R$ 66.001,00 ou mais",Superior incompleto,0,0,Sim,Amigos/ Parentes,Frequentemente,Discorda Totalmente,Discorda Totalmente,7,6,5,1,1,0,1,6,apostador,1
193447244,28,25-34,Feminino,Preta,Norte,C1,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,0,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,2,5,5,1,1,0,2,0,apostador,1
193447414,43,35-44,Feminino,Parda,Sudeste,D/E,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Fundamental I completo/ Fundamental II incompleto,3,Instagram,0,0,Frequentemente,Concorda Em Parte,Concorda Totalmente,1,2,4,4,5,2,0,0,apostador,1
193449193,36,35-44,Masculino,Parda,Nordeste,C2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio completo,1,0,Nao,0,Frequentemente,Concorda Totalmente,Discorda Totalmente,9,5,5,5,1,0,2,0,apostador,1
193449458,29,25-34,Masculino,Parda,Nordeste,D/E,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,1,0,Sim,"Internet/ Google/ Redes Sociais (Facebook, Instagram)/ YouTube",Frequentemente,Concorda Em Parte,Concorda Em Parte,1,5,5,4,4,0,1,12,apostador,1
193451034,23,16-24,Feminino,Preta,Sul,C2,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio incompleto,1,0,Nao,0,Frequentemente,Discorda Totalmente,Concorda Totalmente,2,4,5,1,5,0,2,0,apostador,1
193451289,44,35-44,Masculino,Preta,Nordeste,C2,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Fundamental I completo/ Fundamental II incompleto,2,0,Nao,0,Frequentemente,Discorda Totalmente,Concorda Totalmente,1,2,5,1,5,0,2,0,apostador,1
193472500,20,16-24,Masculino,Branca,Norte,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,0,Nao,0,Frequentemente,Discorda Em Parte,Discorda Em Parte,9,4,2,2,2,0,2,0,apostador,1
193505050,21,16-24,Feminino,Branca,Sudeste,B2,Solteiro (a),"Até R$ 1.320,00",Superior incompleto,0,0,Nao,0,Frequentemente,Concorda Em Parte,Discorda Em Parte,9,6,5,4,2,0,2,0,apostador,1
193507404,30,25-34,Masculino,Parda,Norte,C2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Superior incompleto,0,Youtube,0,0,Frequentemente,Discorda Totalmente,Concorda Totalmente,1,6,5,1,5,1,0,0,apostador,1
193528886,20,16-24,Masculino,Parda,Sul,C1,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Sim,Sites de noticias,Frequentemente,Discorda Totalmente,Discorda Totalmente,9,5,5,1,1,0,1,3,apostador,1
193559825,29,25-34,Masculino,Parda,Sudeste,D/E,Solteiro (a),"De R$ 3.961,00 Até R$ 6.600,00",Ensino Médio completo,0,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,3,5,4,1,1,0,2,0,apostador,1
193561021,56,45-59,Masculino,Preta,Sudeste,B1,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,4,0,Sim,"Internet/ Google/ Redes Sociais (Facebook, Instagram)/ YouTube",Frequentemente,Discorda Totalmente,Discorda Totalmente,2,5,2,1,1,0,1,12,apostador,1
193562283,37,35-44,Masculino,Branca,Sudeste,C2,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio incompleto,0,0,Sim,"Internet/ Google/ Redes Sociais (Facebook, Instagram)/ YouTube",Frequentemente,Discorda Em Parte,Discorda Totalmente,1,4,5,2,1,0,1,12,apostador,1
193563600,27,25-34,Masculino,Preta,Sudeste,B2,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,2,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,1,5,5,1,1,0,2,0,apostador,1
193565059,28,25-34,Feminino,Branca,Sudeste,C1,Separado/Divorciado,"De R$ 1.321,00 Até R$ 2.640,00",Superior incompleto,1,Youtube,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,1,6,5,1,1,1,0,0,apostador,1
193565715,22,16-24,Masculino,Parda,Sul,A,Solteiro (a),"De R$ 13.201,00 Até R$ 26.400,00",Ensino Médio completo,0,Youtube,0,0,Frequentemente,Concorda Totalmente,Concorda Em Parte,5,5,5,5,4,1,0,0,apostador,1
193567329,19,16-24,Feminino,Branca,Sudeste,D/E,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,0,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,1,5,5,1,1,0,2,0,apostador,1
193568645,16,16-24,Masculino,Parda,Centro Oeste,A,Solteiro (a),Recusa,Ensino Médio incompleto,0,0,Sim,Amigos/ Parentes,Frequentemente,Discorda Totalmente,Discorda Totalmente,97,4,5,1,1,0,1,6,apostador,1
193569636,33,25-34,Feminino,Preta,Sudeste,B1,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,2,0,Sim,Aplicativos de corretoras e investimentos (do banco/ bancos digitais),Frequentemente,Discorda Totalmente,Discorda Totalmente,1,5,5,1,1,0,1,2,apostador,1
193571383,18,16-24,Masculino,Branca,Sudeste,C1,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,0,Nao,0,Frequentemente,Discorda Totalmente,Concorda Totalmente,9,4,5,1,5,0,2,0,apostador,1
193575083,17,16-24,Feminino,Branca,Sudeste,D/E,Solteiro (a),Não sabe,Ensino Médio incompleto,0,0,0,0,Frequentemente,Concorda Totalmente,Discorda Totalmente,99,4,5,5,1,0,0,0,apostador,1
193577141,39,35-44,Masculino,Preta,Sul,B2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Superior completo,0,Youtube,0,0,Frequentemente,Concorda Em Parte,Discorda Totalmente,1,7,5,4,1,1,0,0,apostador,1
193582283,17,16-24,Feminino,Parda,Sudeste,C1,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,9,4,5,1,1,0,2,0,apostador,1
193612216,32,25-34,Masculino,Branca,Sul,A,Casado(a)/com companheiro(a),"De R$ 13.201,00 Até R$ 26.400,00",Superior completo,1,0,Sim,Sites de noticias,Frequentemente,Concorda Totalmente,Discorda Totalmente,5,7,5,5,1,0,1,3,apostador,1
193612624,41,35-44,Masculino,Branca,Sudeste,A,Casado(a)/com companheiro(a),"De R$ 6.601,00 Até R$ 13.200,00",Pós-graduação,2,Podcasts,0,0,Frequentemente,Discorda Totalmente,Concorda Em Parte,4,8,5,1,4,6,0,0,apostador,1
193616045,64,60+,Feminino,Parda,Sudeste,C1,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Fundamental II completo,2,0,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,2,3,1,1,1,0,0,0,apostador,1
193622359,27,25-34,Feminino,Parda,Sudeste,C2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio completo,3,0,Nao,0,Frequentemente,Discorda Totalmente,Concorda Totalmente,9,5,5,1,5,0,2,0,apostador,1
193625061,17,16-24,Feminino,Preta,Sudeste,B1,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,Youtube,0,0,Frequentemente,Discorda Totalmente,Concorda Totalmente,9,5,5,1,5,1,0,0,apostador,1
193631310,16,16-24,Feminino,Branca,Sudeste,B1,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,0,Nao,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,9,4,5,5,5,0,2,0,apostador,1
193632985,21,16-24,Feminino,Parda,Sul,D/E,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,0,0,Sim,Amigos/ Parentes,Frequentemente,Discorda Totalmente,Discorda Em Parte,1,5,5,1,2,0,1,6,apostador,1
193724175,26,25-34,Masculino,Preta,Sul,D/E,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Fundamental I completo/ Fundamental II incompleto,0,0,Nao,0,Frequentemente,Discorda Totalmente,Concorda Em Parte,1,2,5,1,4,0,2,0,apostador,1
193768542,44,35-44,Masculino,Preta,Sul,C1,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental II completo,6,0,Nao,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,9,3,5,5,5,0,2,0,apostador,1
193857823,17,16-24,Masculino,Parda,Sul,C1,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,0,Sim,"Internet/ Google/ Redes Sociais (Facebook, Instagram)/ YouTube",Frequentemente,Discorda Totalmente,Discorda Totalmente,9,4,5,1,1,0,1,12,apostador,1
193874109,25,25-34,Masculino,Branca,Sul,B2,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,2,Youtube,0,0,Frequentemente,Discorda Totalmente,Concorda Totalmente,1,5,5,1,5,1,0,0,apostador,1
193913141,32,25-34,Masculino,Branca,Sul,B2,Separado/Divorciado,"De R$ 6.601,00 Até R$ 13.200,00",Pós-graduação,0,Instagram,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,4,8,4,1,1,2,0,0,apostador,1
