nquest,idade1,faixa etária,sexo,cor,REGIAO,RCLASSE2,estcivil,renda,escola,nfilhos,p52aa,p55,p56,p66,p67a,p68,p27,p28,rendacat,escolacat,p64b,p64g,p64h,perfil
193072754,64,60+,Masculino,Parda,Sudeste,C2,Separado/Divorciado,"De R$ 26.401,00 Até R$ 66.000,00",Fundamental II completo,3,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",6,3,5,1,1,investidor
193072794,57,45-59,Masculino,Parda,Nordeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,2,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,2,5,1,1,investidor
193072799,61,60+,Masculino,Parda,Nordeste,C2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,4,Televisao,0,0,Não usou em 2023,0,0,0,0,9,2,5,4,1,investidor
193072826,48,45-59,Feminino,Parda,Norte,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,4,Instagram,0,0,Não usou em 2023,0,0,55,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,4,5,1,1,investidor
193072841,34,25-34,Feminino,Preta,Norte,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,50,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,4,5,5,4,investidor
193072858,19,16-24,Feminino,Parda,Norte,D/E,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,0,0,Sim,Cursos/ cursos online/ palestras/ na faculdade/ escola/ professor,Não usou em 2023,0,0,50,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",1,5,5,2,1,investidor
193072881,25,25-34,Feminino,Parda,Sudeste,B2,Solteiro (a),"De R$ 3.961,00 Até R$ 6.600,00",Superior incompleto,0,0,Sim,Amigos/ Parentes,De vez em quando,d. Chance de ganhar um dinheiro rápido em momentos de necessidade,Uma forma de se divertir e eventualmente ganhar um dinheiro extra?,55,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",3,6,5,1,1,investidor
193072890,55,45-59,Feminino,Amarela,Centro Oeste,C1,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,2,0,Sim,"Presencialmente, ou seja, falando com o gerente ou com o assessor/ especialista de investimento. (presencialmente na age","Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,Não sabe,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",1,5,5,5,1,investidor
193072913,49,45-59,Feminino,Parda,Sudeste,C2,Casado(a)/com companheiro(a),Não sabe,Fundamental I completo/ Fundamental II incompleto,3,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,55,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",99,2,1,4,5,investidor
193072923,65,60+,Masculino,Parda,Nordeste,D/E,Separado/Divorciado,"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,10,0,Nao,0,Não usou em 2023,0,0,0,0,9,2,5,5,2,investidor
193072964,25,25-34,Feminino,Parda,Sudeste,B2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio completo,1,Radio,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,Não sabe,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,5,5,1,1,investidor
193072967,61,60+,Feminino,Parda,Nordeste,C1,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,5,0,0,0,Não usou em 2023,0,0,Não pensa em se aposentar,Ja comecou uma reserva para a aposentadoria,9,2,5,1,1,investidor
193072984,18,16-24,Feminino,Branca,Sudeste,B1,Solteiro (a),"De R$ 6.601,00 Até R$ 13.200,00",Ensino Médio completo,0,Podcasts,0,0,Não usou em 2023,0,0,Não sabe,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",4,5,5,1,1,investidor
193072987,33,25-34,Feminino,Preta,Nordeste,C1,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,2,Instagram,0,0,De vez em quando,d. Chance de ganhar um dinheiro rápido em momentos de necessidade,Uma forma de se divertir e eventualmente ganhar um dinheiro extra?,60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",1,5,5,1,5,investidor
193072988,43,35-44,Feminino,Preta,Nordeste,D/E,Solteiro (a),Não sabe,Ensino Médio completo,1,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,Ja comecou uma reserva para a aposentadoria,99,5,5,4,2,investidor
193073026,70,60+,Feminino,Preta,Nordeste,C1,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,2,0,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,9,2,5,5,1,investidor
193073089,19,16-24,Masculino,Preta,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Nao,0,Não usou em 2023,0,0,60,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,5,5,2,1,investidor
193073102,36,35-44,Masculino,Branca,Sul,C2,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio incompleto,3,WhatsApp,0,0,Não sabe,0,0,Não sabe,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",2,4,5,4,4,investidor
