"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Jequié (BA)","613568.4413011074","1512654.5392875671","637826.2623054981","652737.9585870504","652401.851092279","404769.0023239851","324539.3478984833","726264.308989048","792735.207518816","495662.6928716302","719375.1210823059","1355151.545167923","556351.4628696442","532437.142701149","837300.4276621342","677299.4606721401","507534.3891119957","380154.77988377213","436390.4706347212","774356.7772269845","417634.30896544456","301187.85368041694","339747.63581896573","268059.2314291671","349300.06220912933","544309.966573596","643630.7087569684","510473.7314684391","711110.2847142965","397984.1788531244","334359.49959616177","321799.31860391796","652690.6782846227"
"Santa Rita de Cássia (BA)","226989.3027163148","223444.45626419783","214939.8778040409","178146.8338702917","214607.46266388893","272706.0840754211","258205.86241567135","231911.90970790386","201519.6028122902","231004.66143798828","449517.3615138531","333715.3928580284","370359.3901819587","354164.2442251444","246482.70392227173","402898.12884008884","300976.2313296944","207316.58002138138","261741.43926534057","294900.50428605825","293169.77729589865","506560.5000938829","908730.8276447058","990534.3612957001","643305.4526925981","524177.10114266723","495976.6090050936","576661.1466120444","613042.4641248286","706315.4440188259","872547.7765050717","1011599.5985454395","582182.8345358521"
"Vitória da Conquista (BA)","455174.8800857067","649075.5547614098","534399.313290596","991089.5079382062","887171.3391588926","642695.0726940632","731403.2405701876","388287.8188056946","553924.107257843","369759.98592221737","601572.8237876892","642889.3803784847","685406.343187809","589279.3770112991","555369.2584352493","644506.7980898619","439764.5400389433","756151.9007945806","818557.3193906397","1060503.7391913384","801268.4895290136","798821.273277998","773631.1338607073","905388.1601498127","995564.2088098526","842083.0134216547","762115.0511958078","657553.814986825","722759.543023169","644746.0664852858","636160.9257645011","781410.2323881686","573812.0414958298"
"Cocos (BA)","301151.63358557224","230645.90651762486","156983.9013144374","235980.46654051542","193867.49860453606","220457.19838547707","97198.90801817179","157089.2065601945","95852.80407391489","108308.38579811156","231507.97794300318","147520.20303328335","222718.02847266197","149150.62983846664","146439.8846359849","270731.24249610305","256764.9264960289","168397.3235206604","170570.96004876494","200998.7904316187","985818.596930176","952224.7910076231","663979.9671716765","289215.5856161937","382070.69305838645","434021.9382137358","441291.2189021446","495464.09181071445","489753.15467809886","1020052.8177722916","1361968.088475747","1385268.9597796928","530435.9201169778"
"Teixeira de Freitas (BA)","232706.49147427082","216200.5149846077","112044.14197742939","149704.28755497932","251653.9468793869","331656.56020754576","138425.5078792572","107461.4404540062","81806.6651031375","90069.47326028347","65557.59061360359","31978.752151846886","60434.26287269592","49838.83227533102","23233.16894221306","29678.934244275093","16837.09324336052","139391.85891342163","181358.43755300343","178629.29041099548","204418.3780373037","246119.3396756649","295291.88055717945","282301.09263303876","271793.72575604916","259063.1984949112","256028.1282414198","308222.28634258546","257988.3221846819","344796.3097220585","477622.9086678475","463900.7132012248","460328.77325762063"
"Valença (BA)","577115.4217810631","515325.9644610882","456409.7758154869","547253.5309933424","395159.7894756794","388007.5460692644","504490.8362774849","582143.8420066833","537741.935780406","886201.4830243587","778038.8561280966","705269.5646023154","597637.883140564","134823.4785513878","508162.5440220833","435001.643065691","257364.87008714676","709202.0667688847","218679.53185522556","513721.40712317824","142051.50874471664","305336.20324990153","360759.30849170685","424242.3035939485","411996.7941081375","366882.23185157776","260796.76657545567","442336.7772251442","426170.5454572961","325195.82521533966","501801.2300654948","275494.885335207","457535.97857666016"
"Encruzilhada (BA)","389351.806504488","608473.0015836358","249673.82424521446","468884.84586548805","354958.1388401985","350295.06056571007","361828.57299375534","372974.59268426895","311442.6635322571","401594.431425333","292469.41416954994","393202.10877656937","327087.80071401596","462155.0759322643","422301.4558337927","431148.94993305206","525631.1118187308","786073.9073233455","675016.9611288309","664649.606316328","604557.4082171619","448291.9031690061","278077.3330422528","427699.08823660016","597184.6980833523","335191.816543594","248092.77088876907","297016.1210846463","375751.3966604704","421544.554848894","471537.5300260973","619248.3685287156","445426.029000408"
"Baianópolis (BA)","171007.55019062757","144507.44327056408","178593.77292323112","216985.8069114685","257263.35424536467","361236.3244521618","162168.56314367056","210589.5267225504","148506.7877869606","196935.7465094328","271630.7879421711","245150.99549406767","211395.51919674873","242785.6696946621","260447.62429141998","272081.9613413811","207722.23115497828","144668.11972546577","217632.17596197128","206129.24510008097","207006.0354065895","620734.3925868273","689641.4441632032","657643.639993906","662576.41056633","445495.65691872686","303455.5184197426","530994.4698417783","729577.0862841606","619450.9798041582","803040.3834636211","1716586.2063117027","428774.7877457142"
"Camaçari (BA)","311052.36509417556","307251.5627027117","225077.7379435189","304806.62402706593","240424.6543371044","341661.2205028087","175564.31871332228","119047.28040615469","112924.00832545757","208157.37625977397","144909.86000432074","138763.76706779003","124748.89635410905","85490.57174918056","82805.10896494985","88271.31018336862","135070.10271143913","1394082.6774610877","1392254.4040091038","841390.6141415834","1002249.460228174","1030172.3455169201","1502494.6316600442","3162243.161786318","2832347.0324159116","1446892.408526957","1015820.4800899029","909631.7748097181","688867.6516931653","464672.24205294624","440068.1643290892","489730.41254624724","421376.0644715801"
"Belmonte (BA)","1000493.6345815063","626288.5656077862","578654.4636479616","598334.1812399626","864528.0118341446","884673.3742161393","678723.3156704903","351280.63702630997","550456.7233596444","394695.52135050297","655440.4374367595","484079.3593636751","559518.0945674777","492456.5447857976","532970.1137248278","694963.6320390105","362625.20027929544","298131.1088554859","406889.8819669485","309652.36511075497","366584.30340743065","364387.7914007902","251392.67855501175","423448.78593337536","348329.19451755285","328859.6995738447","977053.260242939","816979.5811237693","309165.2860054076","396687.85691685975","357580.844873026","339155.91119998693","362035.6389557496"
"Juazeiro (BA)","189186.16484975815","163172.90780448914","140128.38365983963","270622.7786478996","185130.81499242783","238481.12079954147","263462.81271362305","167163.3446173668","194718.29926532507","194902.84547233582","264736.93136787415","453287.37579250336","248734.9775648117","226799.05552911758","203656.19036483765","185647.20303986967","140384.87673401833","242027.29744434357","360119.12259049714","363538.7062292695","301805.40870288014","392339.7033097446","923823.8425822556","513976.3912580013","429763.2843297124","380054.3295377791","535572.0620613694","783192.8856199831","433226.71152068675","348186.540698871","354374.22191883624","389945.9016167447","337674.1946107298"
"Itagibá (BA)","205449.3482670784","309380.5362225771","164853.1798632741","128919.15301305056","291813.1018434763","278284.4859058857","156986.99182510376","240005.95075678825","116004.16266858578","148724.4292677641","46970.551437973976","82228.8409472704","89408.19066977501","87681.99428367615","148580.5544090271","95699.11063194275","135061.02156317234","81733.08201551437","90593.40363289416","85679.95975363255","114975.8626512587","140918.54618692398","119984.97541123629","164742.01901054382","113239.02830171585","223201.0573861599","150453.94984030724","133620.94704443216","54624.84452795982","135609.28954792023","102951.3879390955","156764.95053055882","336889.9868233204"
"Barra (BA)","847502.8968211412","423093.7432202101","399443.73146796227","452727.1629128456","322263.3465950489","156724.4675912857","141105.3164753914","182011.64264702797","129577.033577919","268813.2464866638","376039.8880777359","247643.72819173336","235824.56765413284","251771.72019433975","206929.6671152115","376475.47238242626","1393881.422987759","208502.67088782787","259595.33108894527","304832.89665037394","205869.93464508653","268335.3590907641","229790.19206514955","436149.82476341724","1337369.8279611468","726845.1464791298","251683.82592266798","388629.26817137003","391879.8953678012","234126.00001081824","151279.0462808758","92820.04081997275","325260.0128239393"
"Ilhéus (BA)","391895.0251066685","242166.07217228413","212122.2035280466","233167.49808311462","456056.73864006996","335198.74412304163","532429.0511968136","533267.2724299431","525782.4844169617","368256.0573233962","432331.7680506706","323569.8652770519","361025.14260336757","284204.99025832117","328306.411418736","405583.2465709001","319141.56505955756","326766.2847738266","279022.176055938","303633.19339480996","256435.28899545316","317123.7009316087","372292.0876041055","546949.2627255656","501105.5778234005","336171.7515029311","513805.3215498328","481514.4224126935","278007.91735231876","299059.3104545474","298747.1623109579","247208.03927606344","324834.1111936569"
