BIOMA,MUNICIPIO,AREAHA,ANODETEC,DATADETEC,Municípios,Ano,CO2_emitido
Caatinga,cotegipe,2.8,2021,2021/01/01,cotegipe,2021,292547.2605621815
Cerrado,riachão das neves,15.32,2021,2021/01/01,riachão das neves,2021,761963.2862440944
Caatinga,santa rita de cássia,43.84,2021,2021/05/22,santa rita de cássia,2021,998700.5789114236
Mata Atlântica,iguaí,6.13,2021,2021/05/21,iguaí,2021,155962.6907043457
Cerrado,santa rita de cássia,4.03,2021,2021/04/01,santa rita de cássia,2021,998700.5789114236
Cerrado,correntina,34.68,2021,2021/04/01,correntina,2021,1585476.3940644264
Cerrado,riachão das neves,214.94,2021,2021/04/01,riachão das neves,2021,761963.2862440944
Caatinga,santa rita de cássia,4.72,2021,2021/04/01,santa rita de cássia,2021,998700.5789114236
Cerrado,baianópolis,1.62,2021,2021/05/30,baianópolis,2021,1700892.2622466087
Cerrado,são desidério,4.46,2020,2020/01/01,são desidério,2020,3091203.197527945
Cerrado,correntina,2.6,2020,2020/01/01,correntina,2020,1060525.6563282013
Cerrado,são desidério,3.26,2020,2020/01/01,são desidério,2020,3091203.197527945
Caatinga,barra,1.03,2020,2020/01/01,barra,2020,139778.05993533134
Caatinga,barra,1.86,2020,2020/01/01,barra,2020,139778.05993533134
Caatinga,barra,2.22,2020,2020/01/01,barra,2020,139778.05993533134
Caatinga,barra,1.94,2020,2020/01/01,barra,2020,139778.05993533134
Caatinga,barra,0.79,2020,2020/01/01,barra,2020,139778.05993533134
Caatinga,barra,1.82,2020,2020/01/01,barra,2020,139778.05993533134
Caatinga,barra,2.77,2020,2020/01/01,barra,2020,139778.05993533134
Caatinga,barra,0.5,2020,2020/01/01,barra,2020,139778.05993533134
Cerrado,santa rita de cássia,0.88,2020,2020/01/01,santa rita de cássia,2020,859509.3606863022
Cerrado,santa rita de cássia,4.21,2020,2020/01/01,santa rita de cássia,2020,859509.3606863022
Caatinga,cotegipe,4.48,2020,2020/01/01,cotegipe,2020,559960.0834841728
Cerrado,santa rita de cássia,0.83,2020,2020/01/01,santa rita de cássia,2020,859509.3606863022
Cerrado,baianópolis,3.93,2020,2020/01/01,baianópolis,2020,790814.9751247168
Cerrado,baianópolis,15.08,2020,2020/01/01,baianópolis,2020,790814.9751247168
Cerrado,correntina,8.62,2020,2020/01/01,correntina,2020,1060525.6563282013
Cerrado,baianópolis,2.57,2020,2020/01/01,baianópolis,2020,790814.9751247168
Cerrado,riachão das neves,12.77,2020,2020/01/01,riachão das neves,2020,1085054.2665590644
Cerrado,formosa do rio preto,7.06,2020,2020/01/01,formosa do rio preto,2020,3073766.4334418774
Cerrado,formosa do rio preto,7.9,2020,2020/01/01,formosa do rio preto,2020,3073766.4334418774
Cerrado,santa rita de cássia,3.11,2020,2020/01/01,santa rita de cássia,2020,859509.3606863022
Cerrado,barreiras,1.62,2020,2020/01/01,barreiras,2020,1179766.0970728395
Cerrado,barreiras,23.67,2020,2020/01/01,barreiras,2020,1179766.0970728395
Cerrado,formosa do rio preto,14.59,2020,2020/01/01,formosa do rio preto,2020,3073766.4334418774
Cerrado,formosa do rio preto,2.59,2020,2020/01/01,formosa do rio preto,2020,3073766.4334418774
Cerrado,cocos,36.79,2020,2020/01/01,cocos,2020,1218387.32458961
Caatinga,cotegipe,2.97,2021,2021/05/01,cotegipe,2021,292547.2605621815
Mata Atlântica,nilo peçanha,1.21,2021,2021/07/16,nilo peçanha,2021,59568.41939795017
Cerrado,cotegipe,24.67,2021,2021/06/01,cotegipe,2021,292547.2605621815
Caatinga,cotegipe,61.8,2021,2021/08/05,cotegipe,2021,292547.2605621815
Mata Atlântica,ibirapitanga,7.35,2021,2021/08/17,ibirapitanga,2021,72436.60405349731
Cerrado,jaborandi,112.09,2021,2021/10/25,jaborandi,2021,2051920.940728784
Mata Atlântica,encruzilhada,7.11,2021,2021/09/01,encruzilhada,2021,587315.3614428043
Mata Atlântica,encruzilhada,360.49,2021,2021/09/01,encruzilhada,2021,587315.3614428043
Cerrado,riachão das neves,17.92,2021,2021/09/01,riachão das neves,2021,761963.2862440944
Cerrado,riachão das neves,13.05,2021,2021/09/01,riachão das neves,2021,761963.2862440944
Caatinga,santa rita de cássia,2.98,2021,2021/09/01,santa rita de cássia,2021,998700.5789114236
Caatinga,santa rita de cássia,50.77,2021,2021/09/01,santa rita de cássia,2021,998700.5789114236
Caatinga,santa rita de cássia,4.09,2021,2021/09/01,santa rita de cássia,2021,998700.5789114236
Caatinga,cotegipe,7.5,2021,2021/11/01,cotegipe,2021,292547.2605621815
Cerrado,riachão das neves,53.11,2021,2021/11/01,riachão das neves,2021,761963.2862440944
Cerrado,santa rita de cássia,7.28,2021,2021/11/01,santa rita de cássia,2021,998700.5789114236
Cerrado,barreiras,32.05,2021,2021/01/23,barreiras,2021,958306.347179532
Cerrado,formosa do rio preto,42.45,2021,2021/07/18,formosa do rio preto,2021,2299737.8741800785
Mata Atlântica,valença,2.99,2021,2021/04/27,valença,2021,195332.51262283325
Caatinga,barra,10.89,2021,2021/12/01,barra,2021,79058.81857037544
Cerrado,formosa do rio preto,2647.19,2022,2022/01/19,formosa do rio preto,2022,2432263.0
Cerrado,jaborandi,339.7,2022,2022/01/22,jaborandi,2022,1734316.0
Cerrado,formosa do rio preto,74.41,2022,2022/01/22,formosa do rio preto,2022,2432263.0
Cerrado,formosa do rio preto,29.15,2022,2022/05/06,formosa do rio preto,2022,2432263.0
Mata Atlântica,maraú,8.79,2022,2022/03/31,maraú,2022,275953.0
Cerrado,correntina,182.32,2022,2022/04/07,correntina,2022,1473135.0
Cerrado,são desidério,129.73,2022,2022/04/30,são desidério,2022,2729422.0
Cerrado,formosa do rio preto,162.86,2022,2022/06/07,formosa do rio preto,2022,2432263.0
Mata Atlântica,ilhéus,0.71,2022,2022/06/30,ilhéus,2022,209209.0
Mata Atlântica,belmonte,0.72,2022,2022/06/30,belmonte,2022,354868.0
Cerrado,barreiras,10.25,2022,2022/03/01,barreiras,2022,996163.0
Caatinga,cotegipe,10.37,2022,2022/03/01,cotegipe,2022,297663.0
Cerrado,santa rita de cássia,206.25,2022,2022/03/01,santa rita de cássia,2022,569631.0
Cerrado,baianópolis,14.01,2022,2022/08/04,baianópolis,2022,413632.0
Cerrado,formosa do rio preto,233.69,2022,2022/08/04,formosa do rio preto,2022,2432263.0
Cerrado,baianópolis,39.14,2022,2022/08/02,baianópolis,2022,413632.0
Mata Atlântica,valença,4.82,2022,2022/07/31,valença,2022,378871.0
Cerrado,formosa do rio preto,286.07,2022,2022/09/03,formosa do rio preto,2022,2432263.0
Cerrado,formosa do rio preto,401.99,2019,2019/10/25,formosa do rio preto,2019,4220327.0016454905
Cerrado,cotegipe,114.31,2019,2019/11/05,cotegipe,2019,331163.8086628318
Mata Atlântica,encruzilhada,23.27,2019,2019/11/23,encruzilhada,2019,403895.9177992344
Cerrado,formosa do rio preto,9.05,2019,2019/12/16,formosa do rio preto,2019,4220327.0016454905
Cerrado,formosa do rio preto,4.79,2019,2019/12/16,formosa do rio preto,2019,4220327.0016454905
Cerrado,santa rita de cássia,30.11,2019,2019/05/22,santa rita de cássia,2019,694797.0868461728
Cerrado,formosa do rio preto,55.98,2019,2019/04/17,formosa do rio preto,2019,4220327.0016454905
Cerrado,formosa do rio preto,321.01,2019,2019/04/14,formosa do rio preto,2019,4220327.0016454905
Cerrado,formosa do rio preto,46.15,2019,2019/07/27,formosa do rio preto,2019,4220327.0016454905
Cerrado,baianópolis,11.45,2019,2019/08/02,baianópolis,2019,607436.7982445955
Caatinga,santa rita de cássia,57.65,2019,2019/08/02,santa rita de cássia,2019,694797.0868461728
Cerrado,baianópolis,10.47,2019,2019/06/20,baianópolis,2019,607436.7982445955
Cerrado,formosa do rio preto,1.51,2019,2019/02/21,formosa do rio preto,2019,4220327.0016454905
Cerrado,riachão das neves,14.93,2019,2019/04/26,riachão das neves,2019,580173.0040331781
Cerrado,formosa do rio preto,426.1,2019,2019/08/31,formosa do rio preto,2019,4220327.0016454905
Cerrado,riachão das neves,273.7,2019,2019/01/17,riachão das neves,2019,580173.0040331781
Cerrado,barreiras,196.07,2019,2019/07/04,barreiras,2019,1568927.0175619423
Mata Atlântica,iguaí,1.75,2019,2019/05/24,iguaí,2019,82227.19198989868
Mata Atlântica,iguaí,1.57,2019,2019/03/29,iguaí,2019,82227.19198989868
Mata Atlântica,jequié,8.94,2019,2019/04/06,jequié,2019,249169.2120203972
Mata Atlântica,camamu,0.68,2019,2019/03/29,camamu,2019,221471.44368362427
Mata Atlântica,igrapiúna,1.78,2019,2019/05/24,igrapiúna,2019,257694.0746061802
Mata Atlântica,belmonte,4.08,2019,2019/04/15,belmonte,2019,390403.1881421805
Cerrado,barreiras,21.52,2020,2020/04/03,barreiras,2020,1179766.0970728395
Cerrado,riachão das neves,15.21,2020,2020/02/03,riachão das neves,2020,1085054.2665590644
Cerrado,baianópolis,41.39,2020,2020/05/05,baianópolis,2020,790814.9751247168
Mata Atlântica,igrapiúna,9.25,2020,2020/02/12,igrapiúna,2020,378236.5840551853
Cerrado,baianópolis,142.19,2020,2020/05/01,baianópolis,2020,790814.9751247168
Cerrado,baianópolis,3.84,2020,2020/05/01,baianópolis,2020,790814.9751247168
Cerrado,riachão das neves,5.06,2020,2020/06/01,riachão das neves,2020,1085054.2665590644
Cerrado,santa rita de cássia,15.89,2020,2020/06/01,santa rita de cássia,2020,859509.3606863022
Cerrado,santa rita de cássia,10.48,2020,2020/06/01,santa rita de cássia,2020,859509.3606863022
Cerrado,cocos,16.2,2020,2020/06/01,cocos,2020,1218387.32458961
Cerrado,correntina,8.11,2020,2020/06/01,correntina,2020,1060525.6563282013
Cerrado,são desidério,127.66,2020,2020/02/01,são desidério,2020,3091203.197527945
Cerrado,barreiras,21.09,2020,2020/07/01,barreiras,2020,1179766.0970728395
Cerrado,barreiras,28.55,2020,2020/07/01,barreiras,2020,1179766.0970728395
Cerrado,baianópolis,15.85,2020,2020/08/01,baianópolis,2020,790814.9751247168
Cerrado,baianópolis,168.35,2020,2020/09/01,baianópolis,2020,790814.9751247168
Cerrado,santa rita de cássia,7.19,2020,2020/09/01,santa rita de cássia,2020,859509.3606863022
Caatinga,jaborandi,4.29,2020,2020/09/01,jaborandi,2020,1744004.154955864
Cerrado,cotegipe,2.05,2020,2020/09/01,cotegipe,2020,559960.0834841728
Cerrado,barreiras,12.14,2020,2020/09/01,barreiras,2020,1179766.0970728395
Cerrado,santa rita de cássia,12.91,2020,2020/09/01,santa rita de cássia,2020,859509.3606863022
Caatinga,cotegipe,5.26,2020,2020/09/07,cotegipe,2020,559960.0834841728
Caatinga,jaborandi,6.04,2020,2020/09/15,jaborandi,2020,1744004.154955864
Mata Atlântica,ilhéus,3.09,2020,2020/09/15,ilhéus,2020,191205.86366391185
Cerrado,formosa do rio preto,23.45,2020,2020/10/23,formosa do rio preto,2020,3073766.4334418774
Caatinga,santa rita de cássia,12.91,2020,2020/10/01,santa rita de cássia,2020,859509.3606863022
Cerrado,barreiras,27.0,2020,2020/11/01,barreiras,2020,1179766.0970728395
Mata Atlântica,belmonte,4.67,2020,2020/12/13,belmonte,2020,350558.8480718136
Cerrado,santa rita de cássia,6.11,2021,2021/01/23,santa rita de cássia,2021,998700.5789114236
Cerrado,luís eduardo magalhães,77.08,2021,2021/01/23,luís eduardo magalhães,2021,654262.0002045631
Caatinga,santa rita de cássia,14.52,2021,2021/02/10,santa rita de cássia,2021,998700.5789114236
Caatinga,jaborandi,5.39,2021,2021/02/01,jaborandi,2021,2051920.940728784
Caatinga,barra,12.15,2021,2021/02/01,barra,2021,79058.81857037544
Cerrado,formosa do rio preto,21.36,2021,2021/03/10,formosa do rio preto,2021,2299737.8741800785
Cerrado,correntina,1675.57,2021,2021/03/25,correntina,2021,1585476.3940644264
Caatinga,cotegipe,10.97,2021,2021/03/22,cotegipe,2021,292547.2605621815
Caatinga,santa rita de cássia,9.38,2021,2021/05/04,santa rita de cássia,2021,998700.5789114236
Caatinga,barra,1.49,2021,2021/01/01,barra,2021,79058.81857037544
Caatinga,santa rita de cássia,2.93,2021,2021/01/01,santa rita de cássia,2021,998700.5789114236
Cerrado,baianópolis,3.46,2021,2021/03/01,baianópolis,2021,1700892.2622466087
Mata Atlântica,itagibá,15.31,2021,2021/05/21,itagibá,2021,111453.28504517674
Caatinga,santa rita de cássia,14.7,2021,2021/05/25,santa rita de cássia,2021,998700.5789114236
