BIOMA,ESTADO,MUNICIPIO,DTIMGANT,DTIMGDEP
Caatinga,BAHIA,Santa Rita de Cássia,31/05/2023,27/02/2024
Caatinga,BAHIA,Monte Santo,14/07/2023,30/01/2024
Caatinga,BAHIA,Euclides da Cunha,11/05/2023,30/01/2024
Caatinga,BAHIA,Cansanção,14/07/2023,08/01/2024
Caatinga,BAHIA,Paratinga,27/04/2023,28/12/2023
Caatinga,BAHIA,Itapicuru,31/10/2023,31/01/2024
Caatinga,BAHIA,Euclides da Cunha,16/04/2023,13/01/2024
Caatinga,BAHIA,Morro do Chapéu,08/02/2023,31/01/2024
Caatinga,BAHIA,Mairi,13/07/2023,02/03/2024
Caatinga,BAHIA,Caém,06/01/2023,08/01/2024
Caatinga,BAHIA,Carinhanha,13/03/2023,13/09/2023
Caatinga,BAHIA,Iramaia,17/06/2023,01/02/2024
Caatinga,BAHIA,Barra,26/04/2023,28/11/2023
Caatinga,BAHIA,Itaberaba,16/04/2023,16/03/2024
Cerrado,BAHIA,Coribe,18/01/2024,25/04/2024
Caatinga,BAHIA,Palmas de Monte Alto,19/09/2023,04/02/2024
Caatinga,BAHIA,Carinhanha,05/03/2023,14/03/2023
Caatinga,BAHIA,Santa Rita de Cássia,12/06/2023,10/03/2024
Caatinga,BAHIA,Angical,09/12/2023,09/03/2024
Caatinga,BAHIA,Santa Rita de Cássia,23/05/2023,24/07/2023
Caatinga,BAHIA,Muquém do São Francisco,25/05/2023,16/02/2024
Caatinga,BAHIA,Santa Brígida,14/04/2023,04/03/2024
Caatinga,BAHIA,Itapicuru,26/08/2023,31/01/2024
Caatinga,BAHIA,Jeremoabo,04/07/2023,08/01/2024
Caatinga,BAHIA,Utinga,23/01/2023,31/01/2024
Caatinga,BAHIA,Heliópolis,05/01/2023,30/01/2024
Caatinga,BAHIA,Itaberaba,17/06/2023,17/02/2024
Caatinga,BAHIA,Senhor do Bonfim,04/02/2023,22/01/2024
Caatinga,BAHIA,Morro do Chapéu,26/01/2023,28/02/2024
Caatinga,BAHIA,Cordeiros,24/02/2023,29/02/2024
Caatinga,BAHIA,Valente,03/04/2023,31/01/2024
Caatinga,BAHIA,Baixa Grande,13/09/2023,20/01/2024
Caatinga,BAHIA,Barra do Mendes,11/07/2023,11/01/2024
Caatinga,BAHIA,Carinhanha,15/04/2023,29/12/2023
Caatinga,BAHIA,Seabra,26/01/2023,13/01/2024
Caatinga,BAHIA,Barra da Estiva,28/12/2022,29/02/2024
Caatinga,BAHIA,Tremedal,06/12/2022,31/01/2024
Caatinga,BAHIA,Ruy Barbosa,14/07/2023,01/02/2024
Caatinga,BAHIA,Brotas de Macaúbas,08/03/2023,14/06/2023
Caatinga,BAHIA,Carinhanha,07/09/2023,12/10/2023
Caatinga,BAHIA,Wanderley,10/06/2023,29/02/2024
Caatinga,BAHIA,Piatã,28/06/2023,29/02/2024
Caatinga,BAHIA,Morro do Chapéu,31/12/2022,04/01/2024
Caatinga,BAHIA,Paratinga,28/04/2023,16/01/2024
Caatinga,BAHIA,Jeremoabo,13/05/2023,31/01/2024
Caatinga,BAHIA,Boninal,27/04/2023,29/05/2023
Caatinga,BAHIA,Ribeira do Pombal,16/04/2023,29/02/2024
Caatinga,BAHIA,Iraquara,31/03/2023,22/10/2023
Caatinga,BAHIA,Ipirá,25/07/2023,17/02/2024
Caatinga,BAHIA,Maracás,28/06/2023,14/02/2024
Caatinga,BAHIA,Itapicuru,28/02/2023,04/02/2024
Caatinga,BAHIA,Jeremoabo,13/05/2023,25/10/2023
Caatinga,BAHIA,Piatã,17/06/2023,11/08/2023
Caatinga,BAHIA,Mundo Novo,14/07/2023,15/05/2024
Caatinga,BAHIA,Jacobina,16/04/2023,22/01/2024
Caatinga,BAHIA,Iaçu,11/02/2023,29/03/2024
Caatinga,BAHIA,Itiúba,22/01/2023,14/01/2024
Caatinga,BAHIA,Cordeiros,02/11/2023,31/01/2024
Caatinga,BAHIA,Nordestina,14/07/2023,24/01/2024
Caatinga,BAHIA,Condeúba,25/03/2023,15/01/2024
Caatinga,BAHIA,Brotas de Macaúbas,29/01/2023,13/01/2024
Caatinga,BAHIA,Riacho de Santana,29/03/2023,18/01/2024
Caatinga,BAHIA,Barra da Estiva,28/11/2023,01/03/2024
Caatinga,BAHIA,Bonito,12/05/2023,04/12/2023
Caatinga,BAHIA,Presidente Jânio Quadros,03/07/2023,29/02/2024
Caatinga,BAHIA,Caém,31/10/2023,16/02/2024
Caatinga,BAHIA,Morro do Chapéu,23/09/2023,14/01/2024
Caatinga,BAHIA,Angical,01/07/2023,16/01/2024
Caatinga,BAHIA,Campo Formoso,17/04/2023,31/01/2024
Caatinga,BAHIA,Anagé,28/06/2023,18/03/2024
Caatinga,BAHIA,Ruy Barbosa,19/04/2023,16/03/2024
Caatinga,BAHIA,Cotegipe,06/05/2023,30/09/2023
Caatinga,BAHIA,Poções,30/06/2023,16/03/2024
Caatinga,BAHIA,Lagoa Real,08/04/2022,31/07/2022
Caatinga,BAHIA,Cícero Dantas,13/05/2023,31/01/2024
Caatinga,BAHIA,Caldeirão Grande,26/01/2023,08/01/2024
Caatinga,BAHIA,Ituaçu,24/09/2023,15/02/2024
Caatinga,BAHIA,Sítio do Quinto,26/01/2023,31/01/2024
Caatinga,BAHIA,Sátiro Dias,13/01/2023,22/01/2024
Caatinga,BAHIA,Ourolândia,23/09/2023,31/01/2024
Caatinga,BAHIA,Campo Formoso,15/07/2023,31/01/2024
Caatinga,BAHIA,Olindina,19/02/2023,12/01/2024
Caatinga,BAHIA,Rio de Contas,12/06/2023,27/02/2024
Caatinga,BAHIA,Monte Santo,10/01/2023,31/01/2024
Cerrado,BAHIA,Barreiras,06/02/2024,16/05/2024
Cerrado,BAHIA,Baianópolis,14/03/2024,28/04/2024
Caatinga,BAHIA,Monte Santo,02/04/2023,31/01/2024
Caatinga,BAHIA,Sátiro Dias,26/08/2023,31/01/2024
Caatinga,BAHIA,Canudos,11/04/2023,07/01/2024
