"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Valença (BA)","576067.4805984497","513970.581043005","456189.24470710754","546902.7284616232","394652.72941851616","387800.69165456295","504175.6227731705","581397.37520504","536570.7081269026","884832.4312841892","776140.8519700766","703889.0572580695","596406.2832374573","133559.86561059952","506717.6708045006","433875.8300831318","256152.59532690048","666557.9430406094","175856.0546876192","472782.3577237129","83169.95422267914","248348.17283427715","293095.8133662939","342200.62290763855","330120.01628112793","292187.16789245605","180368.3299804926","358332.96054399014","348689.27970457077","247673.75340151787","427637.707020998","195332.51262283325","378871"
"Cocos (BA)","300952.58071517944","230335.79763698578","156892.55887317657","235622.18823617697","193374.69992125034","220137.32928478718","96721.60782259703","156451.47981768847","95001.77613042295","107146.75624002516","229893.98681479692","146000.21260268986","220335.10094499588","146219.44781446457","143439.49855357409","268460.7907911241","254767.63559865952","157823.17150980234","158744.14518511295","189159.41578829288","974902.9143253565","940739.6977729797","651830.6866067052","273913.9133056402","366046.30294942856","420260.1741993129","427944.7649914026","480717.8047681153","473132.3322955072","959394.147064954","1218387.32458961","1229644.9681953788","367625"
"Belmonte (BA)","999040.9810295105","624783.8049734831","577974.4246678352","597858.6099443436","863747.3727171421","884436.2614483237","678408.0001460314","350671.8880240917","549762.2857953906","394200.1540642977","654641.6653956771","483444.1620992422","558932.4264025092","491841.4212165475","532274.1961556673","694591.4430696368","362200.06112247705","294104.969558239","401315.2656006813","305481.8175268173","362152.2081165314","360190.6749396324","247794.85425138474","419662.90747863054","344279.8182320595","323909.0476233959","970812.0412220955","811434.286499083","302593.1280412078","390403.18814218044","350558.8480718136","331485.0170983076","354868"
"Luís Eduardo Magalhães (BA)","633625.9970799685","386190.60700058937","336790.050131917","507437.65698325634","1357155.9070825577","932521.1184949875","1181017.85100317","703376.5091030598","1288674.437687099","1322094.6138231754","1582555.814564824","1183668.66700387","766415.438496232","388439.8929810524","429928.40479135513","396256.4826807976","578741.8868911266","356247.70531350374","843715.1417272091","533346.0289698839","436717.25296127796","598064.1127376556","940861.921146512","1455467.9287844896","1059324.1697245836","246864.76306283474","314329.92734748125","385354.8528802395","516846.1865336895","800435.7103590965","1523413.1056941748","654262.0002045631","343098"
"Barra (BA)","846503.0248718262","421924.7228088379","399262.2568740845","452361.04884409904","321927.79566192627","156632.6421995163","141010.82336568832","181665.62811660767","129218.5380859375","268276.2332162857","375383.90380096436","247119.3613513708","235173.77755117416","251081.37200450897","206250.50834941864","375981.41137075424","1392667.207820654","199186.4027850628","249462.47947978973","293285.99684381485","190840.19912278652","254245.15726923943","215456.1025196314","420966.47109282017","1320591.6815505028","713006.2047694921","237763.7328619957","373584.71046733856","381685.42264449596","226011.05236887932","139778.05993533134","79058.81857037544","312169"
"Cotegipe (BA)","193910.91092300415","255837.01695489883","326215.2163939476","199950.27065497637","238275.1769374609","304873.96769583225","331432.99088287354","173867.23126736283","215312.72317928076","186223.78944075108","214261.7354605794","421854.8569332361","589239.7731472254","281989.86488962173","291349.1319452524","407044.5366051793","233250.2008638382","79196.93119698763","167563.4406579733","133489.13075083494","105224.18932300806","200135.32854485512","524990.993609786","1333311.7276474237","541456.095531702","390832.74487775564","395530.2627248764","511731.13345098495","358292.94870096445","331163.8086628318","559960.0834841728","292547.2605621815","297663"
"Ibirapitanga (BA)","229796.65154743195","189443.2470703125","219439.05111694336","170745.48482131958","282943.5593481064","184392.15412902832","127170.18468093872","229973.6978187561","80705.44033908844","157179.60929870605","45834.25018310547","128198.27665710449","102410.37649154663","110385.1305847168","139426.0591430664","106601.39714670181","79541.06197357178","63969.41337966919","32306.43828201294","45866.38735771179","69070.78957176208","55415.88672018051","55074.020528793335","60587.863819122314","48854.28728342056","35707.42116165161","78926.59419631958","74068.60140800476","100523.65220832825","86205.62920188904","296362.889919281","72436.60405349731","292758"
"Itagibá (BA)","204896.01947784424","308783.40001678467","164722.84442138672","128614.06079053879","291371.95308077335","278056.57417809963","156673.27414751053","239388.1992931366","115292.21415519714","148043.63627052307","46065.573722839355","81660.0246528387","88801.43811273575","87081.09870553017","147833.29364824295","95252.51126861572","134596.03686845303","79407.63027620316","73266.52995979786","75746.00504171848","76614.40426817536","82705.72005939484","66143.16911822557","108288.21460008621","65450.21473264694","178645.89282655716","139999.2164592743","126755.03959333897","47297.21379375458","121675.55451917648","72102.08046793938","111453.28504517674","288483"
"Itapetinga (BA)","70510.4539642334","150936.02726745605","164409.62551879883","120853.62276899815","86520.23429942131","164528.64927768707","31008.637413024902","68370.00485229492","35214.45499610901","68064.19484710693","53503.01153564453","31418.908721923828","49202.42420959473","53921.971199035645","58681.9575881958","45053.60701370239","50615.61759185791","76476.3510017395","99571.8649520874","83121.46714019775","41831.42092132568","15364.169558525085","30152.215845108032","14757.61219406128","11100.186836242676","21468.243015289307","15243.313833236694","25170.242944717407","32268.727016448975","57074.177498817444","46135.12845611572","20727.768303871155","285382"
"Iguaí (BA)","177020.2822265625","354730.1265645027","144237.1986541748","261373.6841697693","387581.31316661835","307486.3413300514","232852.05851745605","397933.76248168945","227255.4969215393","413715.15103149414","110497.66602706909","295305.4462928772","136211.55222511292","138956.56871414185","171313.91491937637","110006.63302993774","103041.16971206665","104841.14574813843","125991.39614009857","186721.7370376587","137127.51868343353","67087.47298526764","57078.59000873566","81768.90529203415","132345.32501459122","114598.33189594746","104743.18532252312","82714.11682271957","102365.07070231438","82227.19198989868","127471.2907333374","155962.6907043457","277970"
"Maraú (BA)","247323.32337236404","261922.8744711876","315853.4669325352","244532.278236866","326963.709846735","337319.99124860764","240568.13325595856","356100.2112195492","190645.14509391785","359263.6562657356","151466.59978652","191251.0688314438","193479.34362649918","128731.08316910267","215635.00041007996","211614.48915481567","144928.04548549652","127677.48354709148","150479.65195441246","117299.09397000074","110040.92526245117","99053.24819016457","133914.76358032227","153052.7724442482","139609.2176451683","72311.20732307434","209277.1815624237","180142.98381900787","104612.3506963253","80207.4920681715","170126.90513539314","103211.31101250648","275953"
"Ibicuí (BA)","114667.59736633301","130910.54951477051","136943.46466064453","95789.26972961426","153594.4687474966","90199.96172332764","58915.13136577606","114690.25901794434","73209.90600204468","98016.73596954346","51805.795417785645","61628.62735748291","52518.427673339844","66411.69187927246","66814.06400299072","46732.16758728027","77212.28762817383","25876.571041107178","55263.54332733154","127096.76690673828","85095.88237762451","43302.48625564575","41972.39051055908","40414.002170562744","22644.63744354248","29157.18251800537","25807.529551506042","25065.90922474861","19492.351747989655","16963.917866706848","35239.99829483032","27800.695709228516","245755"
"Guaratinga (BA)","614670.650053978","1002141.8365137577","644910.3637709618","470333.0660018921","966414.3914846182","1221023.6440746188","760574.1476309896","377993.81422472","316510.64258384705","420526.12655234337","265192.1043834686","245333.7398723364","409550.3736257553","487610.42440605164","591845.29727","401829.1301624775","337791.12661361694","171429.8625666499","308265.1240373254","463481.2910119295","238319.68884706497","139244.75778961182","123752.15908956528","114367.84302210808","100019.6502187252","195101.9527246952","272576.0914388299","151819.35994267464","161630.32018196583","211708.01093423367","251656.63093233109","171742.56461274624","243882"
"Nilo Peçanha (BA)","108529.28459358215","115306.78313732147","115039.40950250626","97054.36062812805","108974.69380748272","167551.03732013702","157936.03172171116","107974.8838069439","61128.84050488472","136660.093231678","79934.82373774052","102796.36608886719","62367.01766037941","28206.40457212925","85734.16020059586","80038.86282646656","87749.01031827927","113250.73184490204","89390.87581038475","136608.08445501328","29056.05708503723","68797.05919158459","91713.66651964188","126422.0823879242","66014.803129673","67361.9832611084","82661.33995836973","91041.8400528431","77783.07097899914","90276.49283427","154625.95725762844","59568.41939795017","238334"
