CODEALERTA;FONTE;BIOMA;ESTADO;MUNICIPIO;AREAHA;ANODETEC;DATADETEC;DTIMGANT;DTIMGDEP;DTPUBLI;VPRESSAO
1223543;{SAD-CAATINGA};Caatinga;BAHIA;Jacobina;50.700.000.000;20.240.000.000.000;01/01/2024;02/04/2023;16/03/2024;30/04/2024;agriculture
1223531;{SAD-CAATINGA};Caatinga;BAHIA;Brotas de Macaúbas;143.300.000.000;20.240.000.000.000;01/02/2024;10/08/2023;05/02/2024;30/04/2024;agriculture
1240503;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Esplanada;25.700.000.000;20.240.000.000.000;30/04/2024;23/10/2023;18/04/2024;04/06/2024;agriculture
1223530;{SAD-CAATINGA};Caatinga;BAHIA;Cipó;51.200.000.000;20.240.000.000.000;01/01/2024;09/01/2023;17/02/2024;30/04/2024;agriculture
1223529;{SAD-CAATINGA};Caatinga;BAHIA;Jeremoabo;95.400.000.000;20.240.000.000.000;01/01/2024;26/08/2023;20/01/2024;30/04/2024;agriculture
1223518;{SAD-CAATINGA};Caatinga;BAHIA;Caetité;0.8000000000;20.240.000.000.000;01/01/2024;01/07/2023;12/01/2024;30/04/2024;agriculture
1223506;{SAD-CAATINGA};Caatinga;BAHIA;Bonito;15.200.000.000;20.240.000.000.000;01/01/2024;26/01/2023;31/01/2024;30/04/2024;agriculture
1223499;{SAD-CAATINGA};Caatinga;BAHIA;Caetité;31.800.000.000;20.240.000.000.000;01/01/2024;30/01/2023;20/01/2024;30/04/2024;agriculture
1223483;{SAD-CAATINGA};Caatinga;BAHIA;Mundo Novo;140.300.000.000;20.240.000.000.000;01/01/2024;23/01/2023;31/01/2024;30/04/2024;agriculture
1223487;{SAD-CAATINGA};Caatinga;BAHIA;Macajuba;33.600.000.000;20.240.000.000.000;01/02/2024;26/01/2023;17/03/2024;30/04/2024;agriculture
1223475;{SAD-CAATINGA};Caatinga;BAHIA;Saúde;33.400.000.000;20.240.000.000.000;01/01/2024;26/01/2023;21/01/2024;30/04/2024;agriculture
1223471;{SAD-CAATINGA};Caatinga;BAHIA;Itiúba;31.900.000.000;20.240.000.000.000;01/01/2024;14/07/2023;16/03/2024;30/04/2024;agriculture
1223466;{SAD-CAATINGA};Caatinga;BAHIA;Pindobaçu;38.200.000.000;20.240.000.000.000;01/01/2024;17/04/2023;21/03/2024;30/04/2024;agriculture
1223459;{SAD-CAATINGA};Caatinga;BAHIA;Campo Formoso;11.900.000.000;20.240.000.000.000;01/01/2024;15/02/2023;31/01/2024;30/04/2024;agriculture
1223461;{SAD-CAATINGA};Caatinga;BAHIA;Iaçu;89.200.000.000;20.240.000.000.000;01/01/2024;20/05/2023;25/02/2024;30/04/2024;agriculture
1228869;{SAD-CAATINGA};Caatinga;BAHIA;Santa Rita de Cássia;19.100.000.000;20.240.000.000.000;01/02/2024;10/07/2023;13/12/2023;30/04/2024;agriculture
1228714;{SAD-CAATINGA};Caatinga;BAHIA;Coribe;65.000.000.000;20.240.000.000.000;01/02/2024;04/08/2023;06/12/2023;30/04/2024;agriculture
1241121;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Itabela;25.800.000.000;20.240.000.000.000;30/04/2024;13/07/2023;12/01/2024;04/06/2024;agriculture
1227498;{SAD-CAATINGA};Caatinga;BAHIA;São Félix do Coribe;853.100.000.000;20.240.000.000.000;01/02/2024;27/04/2023;18/06/2023;30/04/2024;agriculture
1227438;{SAD-CAATINGA};Caatinga;BAHIA;São Félix do Coribe;531.500.000.000;20.240.000.000.000;01/02/2024;24/07/2023;06/02/2024;30/04/2024;agriculture
1223441;{SAD-CAATINGA};Caatinga;BAHIA;Morro do Chapéu;0.7400000000;20.240.000.000.000;01/01/2024;19/08/2023;14/01/2024;30/04/2024;agriculture
1223421;{SAD-CAATINGA};Caatinga;BAHIA;Ruy Barbosa;418.700.000.000;20.240.000.000.000;01/01/2024;31/05/2023;31/01/2024;30/04/2024;agriculture
1223419;{SAD-CAATINGA};Caatinga;BAHIA;Barra da Estiva;12.300.000.000;20.240.000.000.000;01/02/2024;24/08/2023;30/03/2024;30/04/2024;agriculture
1223417;{SAD-CAATINGA};Caatinga;BAHIA;Boa Vista do Tupim;127.800.000.000;20.240.000.000.000;01/02/2024;14/09/2023;09/04/2024;30/04/2024;agriculture
1223408;{SAD-CAATINGA};Caatinga;BAHIA;Piatã;37.400.000.000;20.240.000.000.000;01/01/2024;27/04/2023;11/11/2023;30/04/2024;agriculture
1223395;{SAD-CAATINGA};Caatinga;BAHIA;Cordeiros;14.200.000.000;20.240.000.000.000;01/01/2024;10/02/2023;16/01/2024;30/04/2024;agriculture
1223394;{SAD-CAATINGA};Caatinga;BAHIA;Ribeira do Pombal;72.400.000.000;20.240.000.000.000;01/01/2024;13/12/2022;17/02/2024;30/04/2024;agriculture
1223389;{SAD-CAATINGA};Caatinga;BAHIA;Ribeira do Pombal;0.8800000000;20.240.000.000.000;01/01/2024;14/04/2023;14/01/2024;30/04/2024;agriculture
1223382;{SAD-CAATINGA};Caatinga;BAHIA;Sátiro Dias;965.800.000.000;20.240.000.000.000;01/01/2024;21/07/2023;17/02/2024;30/04/2024;agriculture
1223330;{SAD-CAATINGA};Caatinga;BAHIA;Oliveira dos Brejinhos;46.600.000.000;20.240.000.000.000;01/02/2024;09/02/2023;15/02/2024;30/04/2024;agriculture
1223319;{SAD-CAATINGA};Caatinga;BAHIA;Novo Horizonte;32.700.000.000;20.240.000.000.000;01/02/2024;19/05/2023;16/03/2024;30/04/2024;agriculture
1223323;{SAD-CAATINGA};Caatinga;BAHIA;Senhor do Bonfim;183.200.000.000;20.240.000.000.000;01/01/2024;14/07/2023;11/03/2024;30/04/2024;agriculture
1240723;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Camacan;26.400.000.000;20.240.000.000.000;30/04/2024;19/10/2023;15/02/2024;04/06/2024;agriculture
1223309;{SAD-CAATINGA};Caatinga;BAHIA;Itatim;201.300.000.000;20.240.000.000.000;01/02/2024;20/05/2023;17/02/2024;30/04/2024;agriculture
1223301;{SAD-CAATINGA};Caatinga;BAHIA;Condeúba;27.500.000.000;20.240.000.000.000;01/01/2024;17/03/2023;31/01/2024;30/04/2024;agriculture
1223300;{SAD-CAATINGA};Caatinga;BAHIA;Boa Vista do Tupim;261.400.000.000;20.240.000.000.000;01/01/2024;23/01/2023;08/02/2024;30/04/2024;agriculture
1223290;{SAD-CAATINGA};Caatinga;BAHIA;Ponto Novo;22.900.000.000;20.240.000.000.000;01/01/2024;19/08/2023;08/01/2024;30/04/2024;agriculture
1238907;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Camacan;0.8400000000;20.240.000.000.000;30/04/2024;25/10/2023;27/12/2023;04/06/2024;agriculture
1239542;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Amargosa;37.000.000.000;20.240.000.000.000;30/04/2024;24/11/2023;30/12/2023;04/06/2024;agriculture
1238979;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Taperoá;0.7300000000;20.240.000.000.000;30/04/2024;14/07/2023;15/02/2024;04/06/2024;agriculture
1238930;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Esplanada;15.400.000.000;20.240.000.000.000;30/04/2024;26/10/2023;19/12/2023;04/06/2024;agriculture
1238334;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Valença;0.7400000000;20.240.000.000.000;30/04/2024;03/12/2023;11/07/2024;04/06/2024;others
1238791;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Maraú;18.000.000.000;20.240.000.000.000;30/04/2024;01/12/2023;29/02/2024;04/06/2024;agriculture
1238634;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Cândido Sales;293.000.000.000;20.240.000.000.000;30/04/2024;19/10/2023;17/12/2023;04/06/2024;agriculture
1238457;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Ilhéus;0.7300000000;20.240.000.000.000;30/04/2024;11/12/2023;04/05/2024;04/06/2024;agriculture
1238449;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Aporá;0.6600000000;20.240.000.000.000;30/04/2024;14/01/2024;28/02/2024;04/06/2024;agriculture
1238387;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Itagi;0.5000000000;20.240.000.000.000;30/04/2024;10/08/2023;28/02/2024;04/06/2024;agriculture
1223263;{SAD-CAATINGA};Caatinga;BAHIA;Piatã;34.500.000.000;20.240.000.000.000;01/01/2024;12/07/2023;02/09/2023;30/04/2024;agriculture
1223249;{SAD-CAATINGA};Caatinga;BAHIA;Serrinha;53.400.000.000;20.240.000.000.000;01/01/2024;22/02/2023;24/01/2024;30/04/2024;agriculture
1238256;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Entre Rios;0.9600000000;20.240.000.000.000;30/04/2024;26/11/2023;23/05/2024;04/06/2024;agriculture
1238250;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Itabela;17.500.000.000;20.240.000.000.000;30/04/2024;30/12/2023;13/05/2024;04/06/2024;agriculture
1223243;{SAD-CAATINGA};Caatinga;BAHIA;Senhor do Bonfim;749.100.000.000;20.240.000.000.000;01/01/2024;12/11/2023;17/02/2024;30/04/2024;agriculture
1230114;{SAD-CERRADO};Cerrado;BAHIA;Barreiras;105.600.000.000;20.240.000.000.000;01/02/2024;11/10/2023;05/12/2023;30/04/2024;agriculture
1217278;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Santa Inês;0.6400000000;20.240.000.000.000;31/01/2024;13/07/2023;14/09/2023;13/03/2024;agriculture
1234752;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Lajedão;14.700.000.000;20.240.000.000.000;31/03/2024;10/02/2023;12/01/2024;04/06/2024;agriculture
1217569;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Canavieiras;10.400.000.000;20.240.000.000.000;31/01/2024;11/08/2023;30/11/2023;13/03/2024;agriculture
